school_zone,public_school_enrollment,private,total
192,6363.699128278342,1006.520592960829,7370.219721239171
193,530.21966533908335,782.37716759989996,1312.5968329389834
194,7446.7852291185254,354.71392557042498,7801.4991546889505
195,3380.2420656847039,1484.623722083039,4864.865787767743
196,6616.0267407353167,880.54772651795304,7496.57446725327
197,6434.4597729634188,2745.3254033978342,9179.785176361253
198,5606.3279385130418,1510.2217109291953,7116.549649442237
199,18950.392370238696,2883.0195167833922,21833.41188702209
200,5160.3812518235209,0,5160.381251823521
201,17470.64426372551,2025.5072661145168,19496.151529840023
202,9616.5974388674076,1593.3100378300451,11209.907476697452
203,12124.388516470764,0,12124.388516470764
204,27690.466128312335,1992.8659178189559,29683.33204613129
205,19984.144074377804,414.68091541471699,20398.82498979252
206,7457.439145370352,1535.1808998475099,8992.620045217862
207,23680.392864214187,901.98006865815,24582.372932872335
208,2471.3250658702714,4588.9141749843084,7060.23924085458
209,6863.949523847311,855.08733152537752,7719.036855372688
210,4597.8981378727167,6411.3695454579356,11009.267683330652
211,632.84096801458509,3375.1423528596943,4007.9833208742793
212,7229.8695261070816,827.56710947266299,8057.436635579744
213,4037.4103107978599,4170.9260247434941,8208.336335541353
214,3279.9272497768075,3300.7383705375305,6580.6656203143375
215,2403.2737621543392,4136.5221311756277,6539.795893329967
216,3447.3907351351882,2128.2854629172812,5575.67619805247
217,5281.3395312602088,1419.2622954722419,6700.601826732451
218,9715.5507846047094,4166.5171437248873,13882.067928329598
219,7196.8194856303662,3170.9209972017638,10367.740482832132
220,2515.9137653319044,624.91093558095008,3140.8247009128545
221,7141.5577686588977,85.57504644140991,7227.132815100307
222,7406.2973804890107,5731.6236814274689,13137.92106191648
223,3763.8651411487845,1227.1806227218337,4991.045763870618
224,893.06725563582597,1088.2379520796731,1981.305207715499
225,5479.1287729531978,1636.9965658990127,7116.125338852211
226,19176.904133317417,2376.4875881655807,21553.391721483
227,9605.2909286567246,2248.2535504170178,11853.544479073742
228,10192.550830276297,0,10192.550830276296
229,33961.460838707448,4111.9524378654696,38073.413276572915
230,17298.125540693054,280.87502638247099,17579.000567075524
231,6831.0999178337452,172.841550787991,7003.941468621736
232,14233.241601371115,437.38701508123398,14670.62861645235
233,13337.150426392587,563.87795639511592,13901.028382787705
234,11828.187896583775,1026.57459542642,12854.762492010195
235,13092.858701685936,2322.3760922675842,15415.23479395352
236,2286.3788928529289,2653.5295325425168,4939.908425395446
237,259.70756748112751,1415.9404617151167,1675.6480291962444
238,1418.4096209624952,979.50765930382397,2397.9172802663193
239,3963.2221017705751,9589.804463057797,13553.026564828371
240,973.29177756175909,1169.4075811292109,2142.6993586909703
241,1516.4629503515114,0,1516.4629503515114
242,1536.379063620549,183.34573695836301,1719.724800578912
243,14686.438204659398,3525.4002506687875,18211.838455328187
244,3820.3535282181915,0,3820.353528218191
245,2141.8963667836833,367.02545728295104,2508.921824066634
246,3411.3147979603987,8496.8808645998433,11908.195662560242
247,12445.819859791933,493.73991774903061,12939.559777540962
248,-,-,0
249,4151.9183232726818,2172.3365930626901,6324.254916335372
250,601.11924790619696,1280.3579280562742,1881.4771759624712
251,2292.4383314588977,812.34639548429527,3104.784726943193
252,2998.0188408869631,97.412573007869597,3095.4314138948325
253,53.843663420052899,0,53.8436634200529
254,7116.0119610868169,19162.788019744272,26278.79998083109
255,7180.4142560179898,2718.763229144573,9899.177485162563
256,1489.6021079921929,1198.430194246386,2688.032302238579
257,4970.2795739740177,1118.049031479977,6088.328605453995
258,10025.98292328422,1939.102387894178,11965.085311178398
259,1354.8127130280941,741.09633645098404,2095.909049479078
260,5570.3958922754764,264.32670466689802,5834.722596942374
261,10212.142764737977,1436.1335958971763,11648.276360635153
262,5796.1915478454493,0,5796.191547845449
263,10362.107946870974,1412.9993729170892,11775.107319788063
264,7557.8482704228363,4863.9802132782443,12421.82848370108
265,10345.306557621585,1939.5069745604121,12284.813532181995
266,2845.9306912278371,383.76270141464397,3229.693392642481
267,7057.7182162467807,180.80013311683109,7238.518349363611
268,783.78261371218173,2378.6344538959092,3162.417067608091
269,225.16879642405968,1806.5865289842038,2031.7553254082636
270,0,1655.3505288940059,1655.350528894006
271,-,-,0
272,1024.5051627578862,3465.5584504488797,4490.063613206766
273,3209.5686917276857,4414.8043979118002,7624.373089639486
274,6564.3993751449207,3498.6038962843209,10063.00327142924
275,7959.7283382248088,4602.3761136980074,12562.104451922816
276,7783.6226043896713,1972.4928532285194,9756.11545761819
277,7185.325747708338,2855.0308670546683,10040.356614763006
278,21680.031422738575,2725.960987128703,24405.992409867278
279,8826.1610671762592,0,8826.16106717626
280,990.50651712660147,10386.070696981475,11376.577214108076
281,1113.7990270134021,6387.3604519137443,7501.159478927148
282,2632.0705820390008,3253.5256153970081,5885.596197436009
283,664.39485262585026,629.11303892931926,1293.5078915551694
284,14287.401755041728,5584.5556819460935,19871.95743698782
285,5531.1419331760426,1922.2061014463288,7453.348034622371
286,1844.1885537770934,74.999868208567804,1919.1884219856613
287,1199.2655176657499,3193.8709477553493,4393.136465421099
288,9001.0761274905781,12412.972319806384,21414.04844729696
289,12614.879128024753,3183.2672332964744,15798.146361321227
290,7754.9162707003243,3732.1461259501039,11487.062396650428
291,9524.0258029363413,3186.2646925930571,12710.290495529398
292,15984.762416071222,2200.058612715784,18184.82102878701
293,11239.041439227227,2312.53034645139,13551.571785678618
294,25129.501378390367,3199.3768445577862,28328.87822294815
295,25118.565593203595,2405.3089568476598,27523.874550051256
296,1958.5237087485609,0,1958.5237087485607
297,1000.0605259988702,0,1000.0605259988702
298,41044.836433383127,650.55447938001998,41695.39091276315
299,719.97859959200991,0,719.9785995920099
300,0,8.7020831515661801,8.70208315156618
301,1228.935894043713,20627.87541908168,21856.811313125392
302,0,1940.8017520069129,1940.8017520069127
303,4629.3303115416556,17388.993738462803,22018.32405000446
304,2493.4883019067938,23965.840758656246,26459.32906056304
305,17422.209075960844,1064.122563634734,18486.331639595577
306,21996.128266307453,5732.5246061803155,27728.652872487768
307,12633.544002051156,62.428974388715602,12695.972976439873
308,21459.943672780857,760.480147360415,22220.423820141274
309,10264.067071814527,151.96757592105899,10416.034647735583
310,10821.982644258804,519.573734529592,11341.556378788397
311,3245.5219220232011,0,3245.521922023201
312,20608.94220753419,607.84400191433201,21216.78620944852
313,13025.720481056926,7554.7585702447932,20580.47905130172
314,5228.4964757518019,0,5228.496475751802
315,15707.770696873422,10077.971852513878,25785.742549387305
316,16687.330773251284,1161.2273822370539,17848.55815548834
317,342.79227296074964,1792.7327442239539,2135.525017184704
318,0,1251.1428226492628,1251.1428226492628
319,962.60734201518903,864.80331865334847,1827.4106606685375
320,649.90766984908169,5427.9854414490801,6077.893111298162
321,7314.8351316823364,3042.4194444432696,10357.254576125606
322,3368.5948531693716,4257.7903696360991,7626.38522280547
323,2541.895517056269,6886.1539144997096,9428.04943155598
324,9566.8710894488031,2630.9983841557341,12197.869473604536
325,13751.127281142675,3588.4950141687168,17339.62229531139
326,7604.6478327694904,6766.2092364150458,14370.857069184536
327,7061.0577420038198,714.79128968743601,7775.849031691256
328,144.009899691453,600.27206203222136,744.2819617236744
329,1018.2782186957685,1893.5575003829908,2911.835719078759
330,3099.6406594596729,3483.4535630604464,6583.09422252012
331,2471.9622149828779,632.4381259156271,3104.400340898505
332,6175.5147926429363,1437.5959008109012,7613.110693453837
333,6965.4589129606538,1557.613689523931,8523.072602484584
334,4533.4727957291461,74.585475947770803,4608.058271676917
335,3772.1749710426225,4138.3044377225806,7910.4794087652035
336,4482.5872580006717,500.63038465495003,4983.217642655622
337,3960.3837615799134,5357.5190827047973,9317.90284428471
338,4047.8099108911133,2627.2424937948872,6675.052404686001
339,2410.0579068423349,2447.2897823464677,4857.347689188802
340,36207.76734731772,9665.6136789427419,45873.38102626046
341,0,874.17318271605075,874.1731827160507
342,2955.35072057056,770.49730617725697,3725.8480267478167
