residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
116,261062352.01068053,4474.583954695137,1583.0787591304295,3797.12697292281
117,85933926.81257823,3960.636346618347,1386.4335906001454,3520.208861475704
118,19833108.70764464,3659.33827379304,1300.5317185340757,3100
119,122687452.1331248,3859.7851407652206,1364.6647178973424,3400
120,,,,
121,100023196.3921214,3413.248399288888,1214.6255132681813,3000
122,60459352.49174203,3648.5035599385697,1264.6019053262353,3198.9456520998465
123,98405298.2185948,4306.012261785968,1571.2417285697493,3540.4177229514085
124,116681718.37095064,5658.941673745122,2064.067192127199,3898.563486461406
125,126035747.31073058,6341.14946368891,2425.957063321283,5024.091899104776
126,75685121.19923459,6138.29044600442,2206.9493555500862,5130
127,159771336.88355258,7562.424238346783,2936.81114797994,6249.055973565982
128,7397771.417875261,7722.099601122412,3447.2373801841823,6647.525771628534
129,11806613.873398667,6777.619904362025,3087.5036279808255,6000
130,6795063.597004398,5734.23088354801,1201.602758090964,3540.4177229514085
131,2685399.562106748,4551.524681536861,1879.2159286961144,4383.86783394358
132,,,,
133,154730104.6697747,9218.905187665307,3989.5344644640786,7064.762887584926
134,141852772.47478783,11181.836077154936,4423.775103685766,8200.90669745515
135,146924432.62090498,10097.899149203124,4239.0199832921235,7646.47472233248
136,113838696.93959872,8964.382781289767,3547.03984980366,4684.43223736483
137,141917754.018178,7800.679053381955,2813.4281073325915,4684.43223736483
138,21855883.097847287,4992.20719457453,1834.93267549721,4684.43223736483
139,97671254.91184348,9149.532076050911,3542.9213186246197,4583.86783394358
140,91392390.1346336,5376.022949096099,2033.60828941576,4800
141,185977279.44997352,5936.076586338133,2247.9757219177027,4500
142,85126474.92275931,3804.535192078624,1326.0195168428309,3420.7406638583952
143,,,,
144,262382161.4428607,6837.8458133683425,2670.63789675879,5779.081274591074
145,24138618.50205945,8645.6369993049575,3019.592006762504,6964.762887584926
146,,,,
147,66373914.065730795,6247.959750589276,2265.707938751692,4475
148,85397243.46906868,11184.96967505814,4069.2482354459544,7646.47472233248
149,,,,
150,78571859.3341358,4544.089950502333,1520.500422528027,4910
151,160386297.96146348,4582.858472482316,1612.0684078103882,4220
