work_zone,external_work_jobs,internal_work,total
318,258.00741265074225,9832.220191505143,10090.227604155883
319,802.6813109264433,20914.667651819735,21717.34896274618
320,716.7458077794873,18674.9043781849,19391.650185964387
321,2300.297688168218,13129.119354083354,15429.417042251573
322,1344.356253824751,24877.562041054007,26221.918294878757
323,1852.5469062250484,20697.49795167215,22550.044857897203
324,2591.158837131312,10140.787835005514,12731.946672136826
325,3997.793605441328,14913.441016907833,18911.23462234916
326,3136.891027798182,14219.217832872188,17356.10886067037
327,726.4897847730139,8142.094689310133,8868.584474083147
328,16.3265645648279,10897.770774692492,10914.09733925732
329,746.3572140336155,13544.739306690824,14291.096520724435
330,1952.8168416307883,19668.313618980435,21621.130460611224
331,1145.2691689961891,12228.6183057471,13373.887474743287
332,4984.851957132299,14311.670384403476,19296.522341535776
333,1142.9356089783273,16310.850720397651,17453.78632937598
334,771.4062318446665,9112.790164653808,9884.196396498475
335,606.040037351174,16623.739768043295,17229.779805394468
336,3520.7226596090936,10410.454321576828,13931.17698118592
337,1189.279482129204,14379.184244281225,15568.463726410428
338,1158.17742414353,9586.732511793103,10744.909935936634
339,2713.404463563475,19909.332527578514,22622.73699114199
340,2180.3412920417827,24745.58057739316,26925.921869434944
341,2400.8495073761064,17100.292473271194,19501.141980647302
342,237.0824957766196,4635.516538342471,4872.599034119091
343,1033.969485194524,12895.088251022133,13929.057736216657
344,0,1523.7056619307675,1523.7056619307675
345,3563.184366287243,22012.120073727496,25575.304440014737
346,688.7611219046651,9231.256550650434,9920.0176725551
347,0,630.599944406987,630.599944406987
348,5415.353869761797,45828.22247380385,51243.57634356565
349,307.5033563516474,13270.717206584726,13578.220562936374
350,0,299.901389664336,299.901389664336
351,861.779873348936,19197.11654068399,20058.896414032926
352,3474.096330041491,11596.558692511791,15070.655022553285
353,0,1226.885358063164,1226.885358063164
354,0,0,0
355,0,0,0
356,2280.80533990498,12018.493565907029,14299.298905812007
357,2227.253168459394,16615.83283376513,18843.086002224525
358,53.8571428571428,693.4512987012985,747.3084415584412
359,952.6808240035821,19282.48219474142,20235.163018745003
360,0,6399.688439602476,6399.688439602476
361,1025.06682251112,7246.665520887395,8271.732343398515
362,476.9212470537752,4592.646334467704,5069.567581521479
363,1677.696882820331,35665.69355183277,37343.3904346531
364,5784.227777479451,29001.59068555407,34785.81846303352
365,4470.953125167447,32453.19252970129,36924.145654868735
366,1466.899136391656,10386.571566010289,11853.470702401944
367,3059.7050789141554,29443.22520126129,32502.93028017545
368,504.084166953896,11830.238967191855,12334.323134145754
369,726.69375953668,18135.895907562983,18862.589667099663
370,1929.027906085009,18439.59423987126,20368.62214595627
371,4283.8505796400805,30640.89188497413,34924.74246461421
372,396.5477483019664,6468.56701371936,6865.114762021327
373,3560.1217211417697,20975.166175585822,24535.28789672759
374,10822.552956663782,24541.915730145654,35364.468686809436
375,1494.1507551555876,28176.15672445172,29670.30747960731
376,3627.9985485761126,35065.95816664322,38693.956715219334
377,3227.427605359154,21395.95237579572,24623.37998115487
378,9048.11594507089,55982.21199671906,65030.32794178994
379,5487.3857934342,39130.81111602076,44618.19690945496
380,395.44885955789823,9729.273847845496,10124.722707403394
381,559.868810362723,16732.75532453162,17292.624134894344
382,0,0,0
383,2327.843076564257,18099.408420571457,20427.251497135716
384,2286.5183401682416,19584.341655324617,21870.859995492858
385,556.298179652551,5086.519053583823,5642.817233236374
386,0,0,0
387,549.1616685135971,4490.189657096626,5039.351325610223
388,6168.338257118944,36239.582750383976,42407.92100750292
389,564.3378084165088,4988.233370659731,5552.57117907624
