origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
183,14249.420515847934,0,0,0,0,0,205.53977506176395,0,0,14454.960290909698
184,7947.7402378619627,360.10157888197512,0,0,0,0,0,0,0,8307.841816743938
185,19763.013841037318,240.01289666751256,0,0,0,0,97.984933919852338,0,0,20101.01167162468
186,5814.0575208507553,285.97027725207408,0,0,0,0,0,0,0,6100.027798102829
187,37046.51718593471,0,0,368.31491984697374,0,0,0,0,0,37414.83210578169
188,20418.125766231475,0,0,0,0,0,310.01723599561791,0,528.44234030406608,21256.58534253116
189,28275.815788735348,0,0,496.82996132814537,0,0,0,0,0,28772.645750063493
190,11863.089336893387,0,0,0,0,0,323.78389015796483,0,0,12186.873227051352
191,-,-,-,-,-,-,-,-,-,0
192,17984.45904917748,1172.730411585379,0,369.56146847776409,0,0,0,0,0,19526.750929240625
193,3091.3049670676628,0,0,105.30314130047347,0,0,97.984933919852338,0,0,3294.5930422879883
194,7978.3949209790535,2860.674110108575,0,147.29851146789997,142.33685646435691,0,0,0,0,11128.704399019884
195,17132.454689957682,0,0,496.82996132814537,0,0,0,0,0,17629.284651285827
196,26054.169426313169,0,0,0,0,0,0,0,0,26054.16942631317
197,8736.0879576664611,0,0,0,0,0,0,0,0,8736.087957666461
198,20790.550255884875,0,0,0,0,0,314.85676964489306,0,528.44234030406608,21633.84936583383
199,57769.396957014877,0,0,0,0,0,537.31799039423379,0,0,58306.71494740911
200,17126.583201825964,1116.2613029807724,0,0,0,0,152.0372349817693,0,0,18394.881739788507
201,59512.608154982176,0,0,0,0,0,537.31799039423379,0,0,60049.92614537642
202,43013.77864924504,382.31133946796723,0,0,0,0,0,0,0,43396.08998871301
203,44502.919933529331,0,0,0,0,0,0,0,0,44502.91993352933
204,53192.244949387037,1276.5986457462184,0,0,0,0,0,0,1537.5303138808958,56006.37390901415
205,67169.281579319781,0,0,0,0,0,0,0,0,67169.28157931978
206,23618.015070411038,0,0,0,0,0,0,0,0,23618.01507041104
207,64175.178849083612,7336.232738085143,0,0,0,0,0,0,1037.8774611549129,72549.28904832367
208,13800.816392237128,0,0,0,0,0,703.0670137712857,0,0,14503.883406008414
209,10444.769129050523,0,1479.3911147056526,295.14738180523187,0,0,0,0,0,12219.307625561409
210,5498.9137338309265,0,0,0,0,0,0,0,0,5498.9137338309265
211,10571.578795104675,0,0,0,0,0,0,0,0,10571.578795104677
212,12740.795925861512,0,0,0,0,0,0,0,0,12740.795925861512
213,15574.100639699145,0,0,0,0,0,0,0,0,15574.100639699143
214,4102.0386779355013,0,0,0,0,0,547.07095822203235,0,0,4649.109636157534
215,14010.442674755997,0,213.61319849434238,0,0,0,0,0,0,14224.05587325034
216,19559.202395887027,0,0,0,0,0,741.63984522636167,0,0,20300.842241113387
217,8540.2594238789043,0,0,0,0,0,0,0,0,8540.259423878904
218,39852.740910501074,0,0,0,0,0,0,0,198.0055539734357,40050.74646447451
219,20419.815592617553,0,934.66610339998465,0,0,0,206.05112935307514,0,0,21560.532825370618
220,16639.748431050884,286.59999462784646,0,114.13300940141218,0,0,0,0,198.0055539734357,17238.486989053577
221,16495.020465700643,1413.258929634841,0,114.13300940141218,0,0,206.05112935307514,0,0,18228.463534089973
222,14278.065729703803,0,0,0,0,0,0,0,0,14278.065729703803
223,12430.932040501173,0,0,1418.5818396972575,0,0,0,0,0,13849.51388019843
224,0,0,360.75691047227195,0,0,0,0,0,0,360.7569104722719
225,17300.562487691124,0,0,0,0,0,290.75070397432472,0,690.22083589845442,18281.534027563903
226,26436.689753001599,1253.1784177332993,0,0,0,0,289.43282615604028,0,0,27979.30099689094
227,33263.97676450188,2068.3876715621018,1795.4322291622716,0,0,0,1269.6838606009064,0,0,38397.48052582716
228,31150.918471977642,0,0,0,0,0,0,0,0,31150.91847197764
229,98851.912813949297,1805.3105872907768,0,0,0,0,289.43282615604028,0,692.12956294798369,101638.7857903441
230,43508.535896215202,1113.1810243427931,0,0,0,0,0,0,0,44621.71692055799
231,8839.2703095143024,0,0,0,0,0,0,0,0,8839.270309514302
232,24609.468331009288,378.11209816614075,0,0,0,0,0,0,685.79438376041276,25673.374812935843
233,22113.131735202132,2196.3606556051486,360.75691047227195,1042.8957562774992,0,0,319.54084381312026,0,0,26032.685901370172
234,36277.203983079489,2320.3130889010349,0,0,0,0,0,0,0,38597.517071980525
235,33195.027727963046,873.36985302098878,0,0,0,0,319.54084381312026,0,6510.8853837111646,40898.82380850832
236,6021.8044836833687,0,0,0,0,0,258.08092782353577,0,0,6279.885411506904
237,8164.7734277472673,0,0,0,0,0,315.97692767513422,0,0,8480.750355422402
238,5367.2728726316254,0,0,0,0,0,0,0,0,5367.272872631625
239,12092.681821230544,0,0,0,0,0,1678.2920874438655,0,0,13770.97390867441
240,3264.4273833856669,66.102875315688564,0,0,0,0,1705.5409370503121,0,0,5036.071195751667
241,4028.2701498859687,181.0945958652602,0,0,0,0,49.468620722766474,0,0,4258.833366473996
242,15691.436843400421,481.68977562818554,0,0,0,0,230.22706297498613,0,0,16403.35368200359
243,29319.761359287782,352.89580484657955,0,0,0,0,112.01768896660768,0,0,29784.67485310097
244,33987.98958772076,0,0,0,0,0,428.12264841106287,0,0,34416.11223613182
245,11226.527209980111,352.89580484657955,0,0,0,0,0,0,0,11579.423014826692
