origin_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
68,3840.1891086324063,2716.5885940561593,71899.422244138739,11430.079843458263,1058.9228956823979,2369.3014336934075,4568.2148477394085,0,2646.1665936029985,3758.9566639599043,104287.84222496368
69,6484.4696555652808,7192.9145103511137,28709.944634643416,9804.4153950685923,1751.1968193549442,1760.2325151509815,2414.7977258723095,294.32605694262276,1691.4077473013333,2429.9821104630209,62533.687170713616
70,874.33489204886553,5112.6584030783333,20863.31273239123,16847.745033970565,106.42503413171264,3863.4223128077874,1100.9872883826217,0,989.01415079845424,2874.2384893306589,52632.138336940225
71,3822.337788127008,3801.7753108889656,38933.201696082702,11667.308969309666,5924.6291767762323,341.42451081179752,10400.296677832726,0,4834.6803770543547,1804.2586324444123,81529.91313932787
72,1338.6113075086391,2365.3817900425852,19245.673477186294,8972.5855714606532,1504.2353926630292,888.53264605378934,2101.0444894374236,246.18512503878873,1646.7239470549946,1318.2551189144531,39627.22886536066
73,10635.385756126836,9470.4309399277354,102664.85761428026,9225.5586536198753,927.10744169915313,2464.170815424789,5506.1789375611997,0,2838.8647330574263,8399.5752674486848,152132.13015914595
74,6131.6174561504895,9822.9562646222148,39400.86105867631,7537.5433505936107,1007.8843948273892,3036.3305897195605,1905.3124704465342,0,2116.1923113388507,1817.4167009207463,72776.1145972957
75,594.33369708530586,3075.9150378000363,12909.333925508632,4454.3622000774312,1279.1541991889464,1009.7340600481051,1903.6010841258499,0,1895.8149277849334,311.33306565039516,27433.582197269636
76,1369.6680924887264,1740.8934215765632,18682.364186693238,3212.5095802355327,376.14857945331386,1968.0220667917099,2810.2004565048628,0,800.98145514832504,379.07812023335032,31339.865959125615
77,411.76647926016926,3469.2468281036608,42406.14574880655,10604.452350123469,3656.7708909520697,14242.192935018978,4355.4031491728128,0,2908.4264735302977,1553.0248748050824,83607.42972977308
78,1248.9185051617469,3733.1315448553041,25420.346417435972,5639.9846541551869,2456.7287831587364,1544.616097036122,2165.9679587487312,0,1205.5882914734248,1532.0033108369566,44947.285562862184
79,4205.0558676940518,2184.8163309131578,37846.550559045128,13133.973996982993,1058.3926117636577,8438.7064950755357,4221.7010569020294,157.69444347390552,4931.9472214899279,2484.4764300580696,78663.31501339847
80,464.05056579976576,7945.4206495264698,25203.915685303054,9847.8143786691817,2241.755843625368,3541.2784156435018,5329.0230231514306,39.875784379226033,1652.8482399538764,2213.049686030402,58479.03227208227
81,1836.2448756605334,7267.9288375966071,30320.391220625621,7119.5867785473065,1480.7925396059768,1434.0264485975886,5125.7017541614341,0,1753.8492865166484,974.81923504079714,57313.34097635252
82,5752.1572842914011,10131.605356197275,59349.954692566804,10154.967007722191,2373.8669746546725,4320.482737038672,7725.6252265253779,0,5730.6706806467246,5398.3080949611649,110937.63805460428
