work_zone,formal_employee_jobs,informal_employee,public_employee,independent_professional,self_employed,employer,family_business_owner,family_worker,total_jobs
137,6407.47219648495,599.092711754357,602.271074371724,872.1289522724551,9214.9348066139,181.091167108788,1160.02949676757,0,19037.020405373743
138,12496.26906206403,509.2325739562464,287.307166335473,0,1914.1655331497152,122.385032830382,0,0,15329.359368335843
139,2349.9315443726923,1215.1639492447084,727.688688690101,318.674768279344,3253.355272874865,233.27931793313687,219.928183505993,0,8318.02172490084
140,2829.3439305883207,2410.187540438134,778.435838376544,567.149001571204,4666.696523384967,89.7228303323644,0,0,11341.535664691535
141,7981.720842515978,1883.5284670890471,1516.2199637266858,490.4567970601914,15489.363230636376,132.935335444293,3374.907524395554,1485.427380347061,32354.559541215185
142,5570.937473698716,578.889470227998,306.055236600784,0,5136.040390628801,0,1934.155242948127,0,13526.077814104425
143,0,0,0,0,0,0,0,0,0
144,8755.18415261647,1923.204454284161,678.670005648837,1631.0470874620603,17890.779124146567,36.5634386744992,1044.446905967355,0,31959.89516879995
145,673.545545069129,0,269.832835787987,194.6161876435626,1479.8471973280532,0,39.6915930473481,0,2657.53335887608
146,0,0,0,0,0,0,0,0,0
147,2816.4894437306493,1705.39337930953,0,769.924587434172,2637.761969128307,1086.91465207387,557.6630252896891,0,9574.147056966218
148,4922.557133810974,0,0,353.817698800312,2101.943210228541,199.888747229072,497.534222515377,0,8075.741012584275
149,0,0,0,0,0,0,0,0,0
150,5930.742559694374,1375.5620883435213,151.973725294822,0,8039.955208365672,0,0,0,15498.233581698389
151,5297.738299953497,289.699412032582,239.9133977675112,0,11245.374841113704,0,109.914488119492,0,17182.640438986786
152,5152.3029612802675,551.6351286736532,450.745596539196,724.869512277879,4848.311446574188,0,82.1752201551379,0,11810.03986550032
153,4529.442973665646,0,869.566626440686,372.893149248397,2078.6163838159828,133.924211938555,128.340462149916,0,8112.783807259183
154,11696.707692393707,2196.95063720965,113.1617876010406,224.122409550997,12077.614086244605,569.894325607735,276.535945812176,0,27154.986884419908
155,2263.8063290833293,0,0,0,4708.992779902888,0,60.35,34.1578947368421,7067.30700372306
156,9050.177521169302,758.7274805340926,597.2322263126567,169.177786966467,7747.605698232808,0,0,0,18322.920713215328
157,1555.712259988664,151.636372602033,0,134.664466073925,1702.720391178258,0,0,0,3544.73348984288
158,3892.4814348625937,678.1573798483751,134.664466073925,301.81080031041,9757.604346273223,0,2127.2371894575163,0,16891.955616826042
159,9657.948608691111,273.4432598695442,492.083627309584,197.991563013519,12547.727373664207,0,0,0,23169.194432547967
160,6205.9743562896765,511.7135752000979,1581.766422198287,732.834004053021,8599.508528701655,43.8447064991199,0,0,17675.641592941858
161,21712.901241187465,3122.8895015153607,654.571037234164,0,9497.91177825154,114.435020576273,0,0,35102.7085787648
162,13882.141869177432,1244.1101696962403,516.2868895198592,133.221444636602,9834.329960211002,20.2666666666667,153.436493802001,0,25783.7934937098
163,13913.61174297925,720.0179856285768,318.25187923567603,146.399966995452,10098.127640994147,0,0,0,25196.409215833104
164,15216.027971173728,631.0904633191831,0,0,2200.476343653909,226.156288472208,62.1345194325417,164.97080473909762,18500.856390790665
165,6375.933700967067,340.4939656272396,291.5743005794614,0,2412.5037428943315,12.7544358317945,55.8283461553343,0,9489.088492055229
