zone,name,households,families,population,school_enrollment,jobs,private_cars,trips_produced,trips_attracted,area_ha
95,Vila Beatriz,7217,7217,16370.999999999991,2369.0747468601553,9004.125668191295,9548.646153846132,30764.026272182444,30432.831538409158,183.66
96,Alto de Pinheiros,2395,2395,6425.9999999999973,2784.6955451141835,11830.413212463063,3215.2054794520573,28595.777719371821,29032.737584604783,253.17
97,Boaçava,6559,6559,15489.999999999987,605.64638181409066,10967.869179832232,9882.226666666684,25591.716945488166,25717.061562281066,314.44
98,Vila Anastácio,3558,3558,8831.9999999999982,993.42010679111627,6664.297549816336,2490.6000000000004,20297.22081533663,20407.964714935206,164.66
99,Lapa de Baixo,3708,3708,8747,859.37300840816943,25723.555460795975,2298.9600000000005,29832.797926539057,30165.078225579004,242.69
100,Lapa,10263,10460.365384615385,23708.000000000011,13511.794712861187,55225.78158991432,7105.153846153861,130292.76158741719,130106.4414481171,225.22
101,Vila Ipojuca,9273,9441.599999999999,21564.999999999996,2780.8930105947948,12062.304670659978,7081.200000000001,26386.057864022983,26392.569243673195,168.47
102,Alto da Lapa,5019,5019,12055.000000000004,2586.9940923709505,10614.704005874082,6712.912499999998,27175.661027664657,27386.805617638445,159.95
103,Gavião Peixoto,829,829,2502.9999999999982,59.218634875433494,5264.9390558585355,1353.0804597701144,6876.444397639978,9217.4974422009855,68.96
104,Bela Aliança,2662,2684.1833333333334,6389,1513.7493208878436,4071.2549687304936,3105.666666666663,9999.3651838275127,10385.526748428209,71.35
105,Vila Hamburguesa,5461,5521.677777777778,13000.999999999998,2248.4958297278263,11839.277505679824,5885.744444444446,28875.211885652192,29054.571022004966,149.18
106,CEASA,2571,2571,7004.0000000000027,301.4585909064362,26934.790824115,514.2,29052.014908850942,30442.290229806596,197.78
107,Vila Leopoldina,6604,6604,16361.000000000015,9987.2954119118531,15805.13935851805,7994.315789473679,42663.399095417146,42286.882980434908,91.65
108,Emissário,1861,1935.44,5284.9999999999991,841.42752930571942,15937.684796909029,1339.9200000000003,22212.407906792083,24297.281355927975,190.52
109,Vila Zatt,43935,44491.13924050633,119647.99999999993,17728.482450612708,44368.558909651496,34480.63291139242,161014.24230496679,161532.32810656013,1220.22
110,Pirituba,26070,26070,64541.999999999971,13682.975440868062,25024.679139338485,17380,97491.559158765667,97404.649353706642,488.92
111,São Domingos,19596,19596,51230.999999999964,8506.0769195345656,17420.90628889625,18486.7924528302,72640.219445055758,72326.385036329972,581.76
