destination_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
29,2631.785874299622,3783.8733888016577,53634.090008953426,4523.176548894565,1855.151875141864,9935.125424652662,6602.205986590898,10041.963131010143,0,3117.6040826098288,2821.833712416983,98946.81003337164
30,639.6285939072181,1273.277139261019,9376.298857220812,4177.166287253949,1280.0654899033898,2437.6575309802556,918.0898701912612,15245.271438314598,40.25802226009714,1223.0800062677718,932.4963822830086,37543.289617843395
31,190.1324834529703,755.9121131910385,26467.848286978453,29618.5247534054,328.11969570277296,11819.609906029811,3880.413367954512,22671.873243655376,0,1672.73397763452,1579.702281456138,98984.87010946097
32,2122.9573205778015,6119.836301760945,42260.12260517047,7941.883368491931,1004.9468531080406,5715.42368620498,1862.7388023022984,7213.252389705783,162.88655418847208,1820.6852582663823,4252.0960461061895,80476.82918588331
33,397.8778334788946,30.71234786539504,493.1047199716722,2227.8369699760283,394.27827972517866,489.0685902172163,0,1612.190056729087,0,309.09100133275297,174.2046063780641,6128.36440567429
34,0,25.89926147669857,7560.431822091331,7237.530541821072,96.75583139590326,326.4067166734658,801.0936521691899,5946.909365763022,0,149.36773593570726,115.98033955208744,22260.375266878476
35,600.2607099250415,4913.33438870965,34023.25706431873,10097.399853598878,1195.0551868908722,4704.979259104778,2376.15410104837,33684.96285444372,0,3581.900544456566,1738.1019029376562,96915.4058654343
36,5409.000060262747,6181.787788410479,24541.116661460816,9222.759385032705,1436.5317565215264,1958.6729048657412,2538.2234128886444,34891.71454475314,0,1527.1683955906344,940.0384913782805,88647.01340116472
37,1263.1959534923403,568.7290970866007,8449.609841881307,1003.230388301885,335.70377675047655,0,0,8174.59169198994,0,1380.5414707608702,484.87364988230775,21660.47587014573
38,56.796278976913825,715.9663934655894,2741.8901306606685,2124.1861390397576,0,0,0,6011.648187487345,0,0,0,11650.487129630274
39,1289.2294414149922,382.0420893845312,6972.918701961333,3112.5238868986576,210.09740268306467,4929.8994578734455,417.0804786295232,12339.409860851856,0,537.9996633893511,0,30191.200983086757
40,1714.9294032173004,1878.1831398056424,8089.754914341037,8550.081305384832,473.31360251408773,1215.6187455681409,821.9201701239101,7866.135293130256,0,1070.828039271101,768.4610131980244,32449.225626554333
41,3415.515910490751,4776.718291164754,9070.959476642474,11051.176877150709,1606.519586470165,3638.208131326632,1630.1513602153143,18757.581461225072,0,1081.0277335619332,0,55027.8588282478
42,1821.980823001389,2165.7502149351803,2162.3785307731623,388.378397422617,1317.911381798811,0,2290.8798890314733,6125.753350577235,0,1071.1899596960548,60.709166067259815,17404.931713303184
43,1875.996830166353,5039.474859261355,19916.873284889123,15506.434623745829,1546.1235014993222,3415.3365280623466,795.9942925595833,25647.868663880567,0,2768.5316833536126,803.7122843038769,77316.34655172197
44,1725.6333464362394,3105.325464822704,16248.599364586877,4325.021580859064,493.58218569753893,13353.54891703924,2025.193253415676,11180.039099831596,0,390.7006065156145,1147.9838567841402,53995.62767598869
45,6041.787056216018,4224.687897912279,19626.88263092134,16079.132869178587,2634.436782323955,1912.0480249664015,2797.7173209443617,30296.009343428217,0,3446.9800365175615,406.65100760485495,87466.33297001358
46,1831.4902917548804,5608.870249425224,6527.490101233353,11609.074156599268,889.4470829172072,514.5612075484397,1081.4712277315623,28951.60186517638,0,1400.5939056548384,25.169631932599756,58439.76971997375
47,1402.3341080633256,1964.9521064509768,5079.283619643436,4549.543664568083,149.39513326147983,612.895477702851,0,17486.6665130616,0,542.7336422623366,633.8742360873216,32421.67850110141
48,1004.3041812649044,3470.648219400754,6407.4893320534175,3652.447697867196,799.7496921539248,349.998832119115,3449.905342165106,17980.36165398194,0,1979.275970406135,0,39094.18092141249
49,1733.4810880742805,464.8414337845656,13951.548948921294,5025.491002865458,177.78186528764513,2752.1761904913637,261.73418912503524,12404.55179987892,64.20939867563058,591.0818302635757,41.60403500878822,37468.50178237655
50,205.6040309851886,1334.2568921281593,1491.4991213082578,2578.660672824036,1622.5584346263438,1058.4045208494863,285.8422250468942,8787.232996519,0,117.9961589583842,0,17482.05505324575
51,0,824.8185003135793,5183.0608059576525,5137.159321224988,942.421521528642,865.1077098474268,75.88195863396543,14358.00282960656,0,972.3229305601593,0,28358.775577672975
52,1568.0977099225247,362.92515190399206,8451.771885667324,1392.2587788317264,335.17959730289215,365.93040467685046,598.2467796071719,8491.617600663396,0,2354.8525524247852,182.48652402580095,24103.366985026467
53,576.0480758757458,2564.768241659041,22453.472095302965,9857.362998807248,68.84882141118712,4002.414882430855,2842.6064544159253,9705.096038413178,0,2256.8576997209107,1588.401603465716,55915.87691150277
54,1135.3490690770277,3103.7041459091265,24315.273105802466,4253.153859216397,2130.8559981178937,10682.975771784317,366.08236947127693,7797.989452689763,0,1743.9068573226093,3648.0598116652936,59177.350441056165
55,953.1342945351657,1403.9874229656846,12647.101499075734,16746.371709927564,1017.4055484462236,2174.903996785472,1370.0310611701054,14006.479808085049,0,822.8905861042541,119.17516862387242,51261.481095719115
56,581.4621273400805,3947.621703399645,11707.666374758255,13832.661383858796,1723.668584086,1852.0542374215916,1230.4131795769067,16472.456779613403,216.27747162610416,1593.9335089359977,615.3903539465653,53773.60570456335
57,1002.2510495846714,2106.01964346901,32415.830007685898,4808.346731571101,1489.3957005337948,3656.7070673115536,3481.1889221181927,16290.7472642878,218.92609761576733,918.1907298591561,641.8470535161434,67029.4502675531
58,661.6287790438511,1161.406658398121,15560.697252747212,6524.565334539806,2639.4686434130695,885.6852800671269,1251.6965622449598,29930.35730442776,0,2996.9818448166843,1350.734998505999,62963.22265820459
59,981.2205730452895,4502.726760552205,18335.720306018644,9051.804170603958,4764.521863264395,776.7140979780779,3098.503739878801,38673.83427108878,0,4240.954653324415,1215.898220180802,85641.89865593537
60,445.50503207578254,3153.7365544017357,13222.588999791642,3714.0450309306498,1981.4843498235336,1641.8617215132265,240.44037016705695,16246.611991698825,0,1164.8271964127682,32.80702977552914,41843.90827659075
61,1478.2268618720111,3774.714265569095,10838.767857338347,7360.200048911512,575.5415525958643,1430.1510675158174,1952.043573317367,22270.662940455648,0,2879.003068182664,357.9035222808085,52917.21475803914
62,864.4225032492351,822.3511484463124,17226.32390954424,6026.7526665127825,176.15711713159976,5403.948646590185,4216.38173650046,4064.770266513456,0,442.44942190046305,0,39243.55741638873
63,1275.8045122585215,327.9807596834906,11484.9034914289,703.3672843726362,0,13081.631071036909,418.9104049275658,1859.5216557859185,0,152.1934395481624,0,29304.312619042103
64,3049.7415288652373,4946.938412495039,33097.83589840154,8435.313488261469,2427.7626716174495,3987.833685128799,1980.634987151448,28210.126774151773,0,1904.209528218445,2348.181993721862,90388.57896801307
65,846.8188189673544,1978.7303290406337,12605.997592091231,14942.561862649942,805.8179889436742,63.02019321264649,503.33868242704955,20539.59107970413,0,730.8669701105237,439.66187247483447,53456.40538962202
66,2978.4324775260375,5425.9573811239425,18304.56469928774,12752.062741427108,1762.7829376747975,812.2564631080934,4500.01728941487,10578.958049838466,0,3244.0738879195665,795.8300821554706,61154.9360094761
67,3317.1027985831533,1085.5320410293202,7309.881721814563,1113.385567550553,239.8492844529009,1964.5109628921016,520.6976904737948,8243.173347735063,0,584.3040074690385,488.1423179424572,24866.579739942947
68,3478.1587652946914,2657.393307408869,63754.07604409167,4181.549121109462,526.2388538416546,1369.1238820414303,2235.9545461622456,18121.80959245848,0,2360.8965979016234,5123.103144699075,103808.3038550092
69,6389.614442097649,6324.078054354128,27353.052713209472,4464.420446838453,1272.8565089108836,938.5001285086695,1331.2486869770078,11611.951726703915,294.32605694262276,888.6212314838652,2324.429668356629,63193.09966438329
70,578.727347727462,4242.043227930552,19933.432401132843,12802.185138285631,106.42503413171264,3098.9982908696747,2112.9251880605643,9873.17888424749,0,930.2278056122829,633.1804210060335,54311.323739004256
