residence_zone,employed,casual_worker,medical_leave,retired,unemployed,never_worked,homemaker,student,total
16,12239.003172626924,0,0,1913.5474880923339,1492.2144488007118,0,804.63213647730095,2962.6027540027271,19412
17,4211.1154769063442,904.08510129570368,22.623351316616901,995.94627434010056,779.25402352647893,746.26481176184143,366.36482456231107,1173.3461362906078,9199.000000000005
18,13340.084403994249,133.07062994530801,0,3838.6914925394703,1509.6600333927931,2126.2295584078543,1557.9944175976118,4154.2694641226981,26659.999999999985
19,11256.695388285812,246.02974441177199,0,3742.3289092001241,950.26721920222599,0,398.538968655556,3031.1397702445147,19625.000000000004
20,12446.071073776975,0,0,5659.7627236807703,1521.660358995264,955.16797904003101,864.91485697331609,3235.4230075336245,24682.999999999975
21,8954.9327815601027,186.8656504922763,151.539060198957,2939.826146444243,1500.3415383269892,881.86255924388422,134.81261837683101,1953.8196453567084,16703.999999999993
22,6605.124132037985,323.75040530889038,0,2056.3588897124637,498.17812430155976,388.25748668096458,202.20364112242169,1337.1273208357015,11410.999999999984
23,2142.2127940004621,0,0,883.82187401629187,556.32854256481039,236.12123401144351,60.125032827054497,283.39052257993683,4161.999999999999
24,5488.6481576954302,116.34970147383819,49.282631689201303,2153.7563364159046,620.70728571861207,595.09096898525218,395.01037273456609,1318.1545452871944,10737
25,10246.019225324999,193.36036166483899,501.87733866527901,2589.6521662771288,287.51330948600179,985.7230241491269,485.09163431284401,1456.7629401197719,16745.999999999993
26,7065.7512200410665,0,0,2998.9238992819278,0,345.6412977464729,268.99271607093499,1144.6908668596029,11824.000000000004
27,8521.5880488965267,151.07558540008091,0,2015.308743975663,1024.2434808447606,734.35391385082812,779.3852416003931,2188.0449854317462,15414.000000000002
28,4707.622355369831,0,0,1143.6561358632723,213.68010739665388,311.33843444707469,18.5985654801575,995.10440144300992,7389.999999999998
29,6261.3931841820586,0,0,1778.3716881015966,343.28303952940678,0,318.47051131569629,1439.4815768712424,10141
30,9769.9515232457852,44.026774118061603,0,2945.6334773219983,807.26248386092152,624.59789019144603,396.49636728380221,2199.0314839779894,16787.000000000004
31,14597.266448542216,690.60206929632,0,3747.6195604925788,397.7025054267865,442.24781980809001,195.047977132341,2372.5136193016615,22442.999999999993
32,4752.9035182285916,0,0,1306.775079570458,427.01555303832015,255.8650089869478,70.653603333166203,525.78723684252418,7339.000000000008
33,920.51495720319269,11.4444444444444,0,217.48590836826148,119.08169934640514,70.599999999999994,39.122990637696546,159.75,1538.0000000000005
34,3854.9631997726665,98.270588235294099,0,1094.7186274509818,271.07246376811588,453.43333333333339,163.47512077294692,529.06666666666717,6465.0000000000055
35,21845.131092084092,1076.7936998380881,231.76401404580699,3482.9478765283407,1223.808169832226,1853.6554345062618,1062.4386384611162,3787.4610747040529,34563.999999999985
36,25555.679705213512,0,188.64950216067501,4452.8090462638347,1054.4167535327072,4003.799111715306,469.001748646583,3655.6441324673619,39379.99999999998
37,4849.2115001827915,140.5996573929622,0,1179.3716255788086,328.5221159755082,226.05764214595683,878.95835827688961,1437.2791004470814,9040
38,2212.1783757178487,249.54970760233908,0,757.83624708624711,512.30481360744511,372.9999999999996,297.79752265278569,1121.333333333333,5523.999999999999
39,5744.0910768474878,281.07390953084831,0,1987.2295937465719,1100.7905433113506,764.27835122758665,521.27101804487506,2817.2655072912949,13216.000000000016
40,4161.197887003651,227.28185514791267,0,1100.4090609565401,312.78198609420133,1125.6783411838762,219.12739922571077,1063.5234703881119,8210.000000000004
41,10217.178166587855,750.22164660403507,183.43903252194599,4103.3432887165609,616.65156109937698,1544.339367722821,967.60329293198413,4927.2236438154196,23310
42,3373.7651462012473,250.64304662684,0,941.5256492410299,455.76149065327155,646.16972941687322,154.69809804016131,1088.4368398205763,6910.999999999999
43,15628.573986630181,518.38634606863536,296.95167620963593,6250.0614302798567,694.61655662632961,1822.0791788142687,1508.6534096947969,5374.6774156763067,32094.00000000001
44,8847.350645150078,0,0,4367.6523725890675,2702.2765363914273,223.93234234015881,326.98811833098722,481.79998519829093,16950.000000000007
45,20810.765771864721,0,0,5322.6243228690419,1359.276397947594,898.25395327331603,353.6492200668265,5101.4303339785083,33846.00000000001
46,16568.877414985931,504.434975067702,0,7365.0594939133962,4964.1232283896888,3811.8720292832381,364.00581234309601,3534.627046016944,37113
47,11727.326661368103,196.76587735821599,196.76587735821599,5544.0426476212697,3904.3535746335992,1458.3593633644969,593.69548022697302,2383.6905180691265,26004.999999999993
48,11016.421516914961,349.746192885607,0,3979.9990938415485,2727.4239728682883,1726.0872293787811,2430.5722935018825,2571.7497006089388,24802.000000000007
49,8808.792196237664,351.21890569434083,0,2255.9978296740155,603.43002369713668,334.46552371370274,298.39208628556116,2208.703434697587,14861.000000000007
50,4945.4320284034393,0,0,2794.4483196272058,258.83401454159747,296.692539225872,279.16710746959728,987.42599073228598,9561.999999999998
51,8422.8302194976222,240.49072718524673,132.25271804700918,2539.6682170468689,988.38582534519253,728.85018918461697,631.67619128236061,2200.8459124110941,15885.000000000013
52,5572.2388338675073,415.96048463618843,0,1995.3768474800472,0,230.68340877757799,232.60125029158974,1076.1391749470824,9522.999999999993
53,7849.8775215191399,122.16304778335009,106.44838192223899,2786.7722532467201,590.75410627547308,863.77907580024976,0,1736.2056134528211,14055.999999999996
54,4424.8257855053989,12.4710374369847,0,2197.3860472313863,369.90634427438954,326.26578359944398,168.07191388035511,946.07308807204151,8445
55,9126.8493628130818,0,0,2672.4185329346146,299.84682653741123,148.68570055232641,328.8087819747974,2902.390795187765,15478.999999999996
56,10707.142238127342,130.275671963821,0,4494.1214675376013,2013.5479516005541,1342.7411938664341,238.16930949594931,1493.0021674082868,20418.999999999985
57,12756.888627463328,0,0,4895.5505591344991,809.76479721999249,0,582.93794391940696,3173.8580722627712,22218.999999999993
58,18313.499552298879,238.98427708517499,0,5940.2316527370194,2243.5034828088137,1292.9088854952342,1036.5028616382097,5261.3692879366708,34327.00000000001
59,26482.247888074904,511.50343125766904,0,9345.0036203934797,5076.195330804434,1112.74054902894,2052.0838421550275,5541.2253382855515,50121
60,12308.130907729999,43.812062877562198,0,5152.9649805131276,391.62856716908914,0,179.52462438529182,2598.938857324938,20675.000000000007
61,13489.313776282866,0,0,6094.2683703662178,472.899463897717,0,3254.5637437263003,3226.9546457269098,26538.00000000001
62,2783.4759974483377,0,0,1089.7344073555155,166.62447216432719,15.376968239659901,275.94184902088273,607.84630577127677,4939
63,1105.7391329047266,0,0,490.49469787915177,42.147007128210205,94.829931972789211,34.123086734693899,282.66614338042928,2050.000000000001
64,17418.885923058369,104.01797773291101,359.48912118111303,5335.6110372925441,1213.838904138395,1509.4459087122409,1898.9148039458573,3499.7963239385585,31339.999999999985
65,14509.559240657622,0,77.368421052631604,5884.4705314009661,852.89168078298439,974,124.133333333333,3889.5767927724455,26311.999999999985
66,5837.5058047426664,104.56649575182919,0,1777.2676245725902,465.49043865398102,399.92062356020779,656.18862831169292,1141.0603844070324,10382
67,5740.8918742096967,30.997719980388499,0,1455.2313449405779,58.480757834470097,675.013100512763,246.03324714083399,704.3519553812705,8911.000000000002
68,13624.948111615806,48.850282418627501,177.54768118598349,5134.0309190181879,1275.0074051725558,1446.5189167380211,888.55703096306536,3004.5396528877336,25599.999999999975
69,5940.9341623643559,0,0,1795.1579889824045,707.45484382156781,420.57961706095801,93.595511577778609,1694.2778761929287,10651.999999999993
70,7627.2508844905615,0,242.02927785564299,2420.6506064312421,942.12901132586569,495.37891482520803,259.97775835529097,1383.5835467161858,13370.999999999996
71,18113.2587987605,343.57216830252003,0,4441.0819699635795,1061.2800284667678,1159.1029394285752,1970.7711822217432,4211.9329128562977,31300.999999999985
72,5819.5583211524172,253.78868351595759,0,2930.7505836929117,1375.005717465863,746.26201876438995,259.07892834695463,1794.5557470615088,13179.000000000004
73,5253.6639534406459,0,81.558666534986699,1607.0788012613523,306.40055138199403,418.73044662566872,490.16769973603687,1712.3998810193145,9870
74,5833.8701906360575,32.618104159586899,32.618104159586899,2787.5720942075404,336.27760868183611,430.91573542079198,532.0135629045252,1538.1145998300842,11524.000000000013
75,7607.9650936387079,86.140741403574197,41.364302146318501,2459.4742742273061,386.24979718996053,673.91106411799637,313.78820929480622,1670.1065179813327,13239.000000000002
76,5477.6308753009762,65.650249409045998,64.327503722168998,1660.8353626215492,107.850322311893,352.19374350639498,229.20697670004031,1291.3049664279251,9248.999999999995
77,13176.763865164134,0,0,4395.9904790869805,547.75664796250499,971.57431832089401,724.8642904661823,2515.0503989993099,22332.000000000007
78,9398.5674362163154,0,57.412129024989198,3804.4415026563133,588.22443962123361,683.0403007430142,1063.3231638392381,2399.9910278989041,17995.000000000007
79,5747.9323072311527,0,0,1676.1573759874229,288.35311181736637,367.65267345271837,33.465520219455101,1440.4390112918829,9553.999999999998
80,10806.258532393533,0,45.378971104947503,3873.44488112925,1011.0714783018041,934.38842649975402,303.60005089154993,2100.8576596791654,19075
81,6946.4013655934823,0,73.15789473684211,2097.3222222222212,490.93139901034613,629.33333333333303,171.34523809523819,1503.5085470085457,11912.000000000007
82,7857.3735389471449,77.709187007092709,12.997795717157,2036.6704667367292,463.42472513088916,565.40316737600347,133.42332786426769,1250.997791220715,12398
83,13378.139786820007,308.99151705346299,116.670383655143,4107.4846245556955,966.47971892865075,1079.7968714344418,417.08243684914959,3004.3546607034395,23378.99999999999
84,9014.6015686687242,137.3230224544937,78.707036108991701,3193.2501070125199,365.64916688526739,640.87905574676199,499.12227401146021,2768.4677691117868,16698.000000000007
85,2337.8944460129228,130.05714285714291,0,720.99311594202857,121.9361111111112,198.0000000000004,148.61918407679283,633.5,4290.999999999998
86,1563.5223102770065,33.787618255977861,37.906353138681681,592.84164678659954,113.21370043103408,113.48226803777138,145.18389668523679,431.06220638769111,3030.999999999999
87,10268.745174124486,197.01813205939411,0,2695.9084132187563,535.24765937198947,613.97095075741072,152.75199362970031,2285.3576768382695,16749.000000000007
88,23618.08425675235,232.86155484489541,0,5740.197176737699,2089.806815290804,1805.2330325743992,493.90343272962656,5151.9137310702572,39132.00000000003
89,7109.7207145223874,274.30697722555198,0,2707.6949844806863,429.36021256807931,254.01645071397479,206.32649665588761,1343.5741638334332,12325
90,6842.7540276415293,295.15889770657611,0,2450.6270680019038,868.55463203050124,507.91778299462936,288.3949952829575,1455.5925963419013,12708.999999999998
91,5131.3891750317198,1201.0267744993259,215.70671365559429,2389.8665887635525,2007.2644934611837,664.61574751111095,763.34860431488084,1966.781902762631,14339.999999999996
92,1594.6294117647062,43.985294117647101,0,649.76666666666608,356.71666666666664,188.00000000000011,45.9019607843138,607,3486
93,5803.8762585015984,0,0,1737.8511782646356,345.09196686508869,543.05257571053096,256.44907800195602,1665.6789426561888,10351.999999999998
94,3283.8591983928295,352.95894092846288,32.970329444306103,714.08717163548727,253.63292010712215,279.75787162297297,143.6655993105251,1028.0679685582929,6088.999999999998
95,7822.8449157875166,504.02567171717169,0,2794.5477769032714,1091.5628320864851,545.99663312812254,785.95340980224478,2826.0687605751882,16371.000000000002
96,3405.6825135144177,87.747483840559795,0,1087.9064412457042,514.34955158432672,343.020417741232,201.9851437257052,785.30844834805578,6426.000000000001
97,8844.9782744340191,0,0,3177.8048123549229,701.33033008754683,747.17087414979073,209.10114181218523,1809.6145671615336,15490
