origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
70,1331.904585696181,2877.7189944275474,12098.779565683712,0,894.446035836436,11465.811748967868,3634.8370179529034,39.880564582679945,2460.224044587806,2262.0929952756674,119.63725842234626,1133.401220838861,14313.404304668213,0,52632.13833694021
71,10713.133648376075,692.2847215138831,8363.242043789534,0,1978.3869414752303,25051.30921716998,5638.177246501855,191.86614171005604,3479.390649108831,1227.0068821380278,0,8996.255063007804,15198.860584536576,0,81529.9131393278
72,4792.74792599681,1570.4048628585465,5088.93517160364,265.73444058225675,2163.7455661034405,13791.39161043848,3356.3977814068585,423.912881010107,2329.9976185289665,1638.0847901037207,75.89110938306422,557.1384618335454,3572.8466455112102,0,39627.228865360674
73,18320.004209106977,20433.962746588637,20377.416378651327,1908.136566676134,385.4513747034193,49602.05445506105,5332.896198061728,2185.271737576254,5264.625591758566,3777.460434594699,511.7530559742695,2666.5636258619593,21031.19668329421,335.33710123675235,152132.13015914592
74,31573.10949802756,317.9036899406591,8559.457557243297,214.64722049978892,539.50936424211,14604.06508249018,1143.9745456867838,1020.6004246989723,2920.398587098052,2592.2066752528617,0,531.2213700435358,8759.020582071904,0,72776.11459729573
75,3653.598060360724,1293.2653512307047,3312.4801739876016,0,1090.8110749543416,7384.81167675898,1519.6884800266437,1066.223027417485,989.8886863029675,1558.4153308047512,0,818.4318514605901,4745.968483964847,0,27433.58219726964
76,4577.659278875103,536.0676841807982,8207.493616093529,21.39233438769447,384.26292788853215,8991.115386062349,1807.485925533847,571.5954027108592,1475.3177544420112,797.4737078570141,0,908.2303689002441,3061.771572193652,0,31339.86595912564
77,19106.11799852478,300.97578175641064,16838.094238176465,1605.9262901101963,1116.7265687621707,16096.02683856262,4682.912238740354,1190.4558263581262,8221.974175298468,1930.361554725554,0,718.0711651788602,11799.787053579106,0,83607.42972977318
78,12612.566729394455,0,4730.3707328289465,0,1014.5710274398564,8870.55427860482,2359.785420506142,1304.2270840468611,2872.241307546673,1085.4310315036091,0,282.5028601031619,9815.035090887677,0,44947.28556286219
79,27155.71725214365,0,11414.310770452565,0,1220.0382668266086,15826.321312804372,6374.287007638902,622.9010105042053,2628.740608019161,791.8102869719352,157.69444347390552,239.49654726284552,12152.992353885063,79.00515341524411,78663.31501339843
80,10024.585069660276,341.36915779598314,10315.51344160217,32.44741558057846,2525.319533395933,13399.462782207387,3209.819871746059,400.187385806646,4057.9281983557335,1463.162381310974,0,1584.188399323336,11125.048635297186,0,58479.03227208226
81,8135.51438162421,1663.7792313620805,11026.534779934707,388.92390703865806,841.3083325520605,17453.149312471647,5091.046943734919,530.900144405404,3944.1097123480695,2872.2256193703247,14.837527741471208,1469.766400183432,3881.244683585504,0,57313.34097635241
82,26219.577742226174,6067.884493959096,14295.438189235389,0,138.67223188965735,31022.864007255164,6385.66478495585,70.04160794340447,6019.306344387645,3979.27832690996,301.5294971264668,2304.2553025143734,13987.39984913859,145.72567706256936,110937.63805460432
83,11146.02092982075,418.60816127664685,9638.823834974333,0,2070.2976126688895,17665.309883816317,7054.001098453668,562.6592491089328,3434.6509590095943,1087.6984309055913,0,837.1224810479928,14498.554435219545,0,68413.74707630232
84,3688.9641250332834,1994.124272174929,7580.031833503444,0,827.4685219049069,17581.891692554716,3314.5559522014146,556.411033786252,2682.8258171252755,856.1231941946689,0,274.3285724649087,8998.683352598562,0,48355.408367542346
85,857.2474947854248,340.12078963148844,715.5569947095739,0,138.1856428932992,4494.1360360286135,2654.959110193704,0,1488.7662927711583,55.50535005245968,0,73.41593704974298,2200.5261925649224,0,13018.419840680395
86,1846.3327478531264,17.970663628041375,1559.8727394911637,0,149.0383913731399,1978.014170589595,595.9660414572893,0,886.9838752639414,30.185201408627087,0,34.70522963046647,310.87599708623526,0,7409.945057781629
