work_zone,secondary_sector_jobs,tertiary_sector,other,total
407,10413.202981530634,33688.93619194717,0,44102.1391734778
408,4936.750386767935,24611.6421432059,0,29548.392529973833
409,2216.946277218315,20637.634016376654,180.962799273635,23035.543092868604
410,15612.090983204607,23780.414972964976,175.936054849368,39568.44201101895
411,3950.9262145761527,9303.553774326976,0,13254.479988903127
412,4203.134149461357,5957.201337551154,0,10160.335487012511
413,3500.240588175084,2812.6811939138565,341.38974258123113,6654.311524670172
414,1714.5782570964216,3552.999316392929,83.1052631578947,5350.6828366472455
415,3346.6148862306277,13284.741270145048,623.3530353095389,17254.709191685215
416,1254.164163651482,4837.457744155767,1132.9703703460573,7224.592278153305
417,0,221.259522837613,0,221.259522837613
418,1030.822208719319,5032.3296295892615,461.31327630421697,6524.465114612797
419,86.2660412242162,0,0,86.2660412242162
420,432.3972921920186,3924.9156241916544,430.42717812400184,4787.740094507676
421,0,0,0,0
422,3007.023518641426,10822.928474617293,359.92156289215905,14189.873556150878
423,0,0,0,0
424,2545.1703719330253,21804.209137749043,0,24349.37950968207
425,2200.327016930357,18670.995427112863,0,20871.32244404322
426,748.8282083807442,8601.162191294725,25.6000408358019,9375.59044051127
427,1020.203364377302,11113.469398179206,0,12133.672762556507
428,20391.742263124117,23727.390808804415,0,44119.133071928525
429,6247.107686837072,103054.4704590843,0,109301.57814592138
430,704.469511142973,11539.079543091186,0,12243.54905423416
431,558.13230612797,7437.866269798824,0,7995.998575926794
432,95.6785541018159,4418.905481106359,0,4514.584035208175
433,2896.3192801759933,17899.32755665001,0,20795.646836826003
434,3249.4884589939243,21658.345798798673,0,24907.8342577926
435,4070.70499935466,13496.43461073918,0,17567.13961009384
436,8530.746686571623,16950.197889011903,0,25480.94457558353
437,3163.0210466107665,16217.110039980193,0,19380.13108659096
438,14209.699355013456,35744.41507169735,0,49954.11442671081
439,747.602012680784,38196.92380710931,0,38944.5258197901
440,5539.461567999837,17571.805354821074,0,23111.266922820912
441,224.114376088768,1771.2047583865551,0,1995.3191344753232
442,22072.919476849045,19006.28476162347,0,41079.204238472514
443,7712.3462838756195,53324.01374233238,0,61036.360026208
444,4471.9274462078465,26611.293335046543,0,31083.220781254393
445,1703.2348347010227,10507.34984063491,0,12210.584675335933
446,220.080257398433,3435.4362941557947,0,3655.516551554227
447,11468.47078344211,33898.94253552945,0,45367.413318971565
448,3085.578466244106,2679.1782572481948,0,5764.756723492301
449,944.0980919282983,2906.3578606680285,63.3303578448188,3913.786310441146
450,132.505208333333,2513.1567808982804,114.017744252873,2759.6797334844864
451,2997.9028772512993,9397.981612148627,0,12395.884489399928
452,26211.07414223917,34073.644112245835,0,60284.718254485
453,13915.682694958416,22149.65473895309,0,36065.33743391151
454,3574.915235950237,28183.946917136625,0,31758.86215308686
455,5216.493629279657,39722.55891247993,0,44939.052541759585
456,5615.086050121024,58917.38343938127,0,64532.4694895023
457,10431.048013994954,25677.326537916997,0,36108.374551911955
458,16901.795064622384,29452.929811677423,0,46354.724876299806
459,2703.742643861196,9502.343925278048,0,12206.086569139245
460,2027.024707672784,2246.2209899908426,0,4273.245697663627
461,52.6592467456626,325.2214484508191,0,377.88069519648167
462,14906.594075946772,22515.344673819505,0,37421.938749766276
463,8282.145512517924,50282.780021923005,0,58564.925534440925
464,13700.049425054523,24057.45302584276,0,37757.502450897286
465,19333.35420254887,12137.233192382411,0,31470.587394931285
466,10503.02392169104,10417.530823886636,0,20920.554745577676
467,8186.376757974571,12958.954873805607,0,21145.33163178018
468,4300.308060331872,28848.404254036992,0,33148.712314368866
469,5608.6484273282895,8903.047964679352,0,14511.69639200764
470,7117.168468377167,26094.09123670948,0,33211.259705086646
471,4613.706839047285,12892.143618723108,0,17505.850457770393
472,291.458929803823,9148.401332928132,0,9439.860262731954
473,3753.99182314994,24139.999912869454,0,27893.99173601939
474,10960.50872994402,25027.951715095664,0,35988.46044503969
475,2052.6557564633554,5119.920928619937,352.7499155662103,7525.3266006495005
476,8334.804535877054,45514.49787083035,744.917982854804,54594.22038956221
477,100.137420371736,2792.8224251191195,0,2892.9598454908555
478,1045.390907377317,3060.9279417680505,0,4106.3188491453675
479,372.2573482560723,6964.767164019077,155.97084322084,7492.995355495988
480,5339.140505064803,14845.728031417791,0,20184.86853648259
481,1210.733992565035,4439.174161184741,0,5649.908153749776
482,195.5686876474667,538.676308395165,29.6103238605192,763.855319903151
483,2543.8973592034818,7170.882584830642,0,9714.779944034124
484,0,0,0,0
485,0,0,0,0
486,21434.023264419495,51839.35811752961,0,73273.3813819491
487,10230.751870131227,40727.75128556637,0,50958.5031556976
488,19692.932538594578,66865.77750717757,862.8710725018628,87421.581118274
489,835.6261355197,6865.989968914647,0,7701.616104434347
490,1975.1841031058973,10173.211659678827,0,12148.395762784729
491,212.1384783591571,17147.44718998229,0,17359.585668341446
492,2142.092882550898,11717.206147442696,0,13859.299029993594
493,2181.582219768121,5887.539753246587,573.033811629619,8642.155784644327
494,7107.376954705699,21080.134487430292,0,28187.51144213599
495,3301.64294455984,23190.920814256275,0,26492.563758816115
