residence_zone,illiterate_or_incomplete_primary_i,complete_primary_i_or_incomplete_primary_ii,complete_primary_ii_or_incomplete_secondary,complete_secondary_or_incomplete_higher,complete_higher_education,total
149,-,-,-,-,-,0
150,10785.966881378587,6428.9940474619725,10469.480697801153,21543.81332729046,2446.7450460678388,51675.00000000001
151,24510.468065907862,17838.35460149555,12814.164670350152,32173.142287242819,12154.870375003657,99491.00000000003
152,6289.037593583781,4266.7460352275775,1987.3158157229673,10356.396221493582,12926.504333972096,35826
153,1982.4256899222182,266.93109503342441,790.09505294156816,5918.409544111888,8099.1386179909005,17057
154,6586.3889292539398,6999.9888226681423,4287.8382637655777,18082.309159223627,13193.474825088715,49150
155,8186.0231278899264,3397.4996850577118,3571.1625490503934,13394.112236974623,1399.202401027349,29948.000000000004
156,5773.8996705447589,4449.6091257901198,5321.803661266541,15814.434263490828,11150.25327890774,42509.999999999985
157,1918.4009489897321,2279.5783079464345,3139.4015082086617,7048.346580416106,2655.2726544390744,17041.00000000001
158,8365.6896588818399,9198.3058038188719,7188.8176135451431,21993.700334306875,8617.4865894472623,55363.999999999985
159,15227.9800123474,8933.139951697156,8480.1041475276652,22251.562194525635,7538.2136939021448,62431
160,9568.0389848118848,5212.972484136335,3773.2291186260081,19795.228801356738,9085.5306110690526,47435.000000000015
161,7859.3159310286419,8873.4002703704773,14413.280280840285,13940.372363456847,2762.6311543037577,47849.00000000001
162,2124.7818078756118,1422.1831089273865,1864.6419219306133,7011.4171015563788,3532.9760597100103,15956
163,4067.5041329133173,5378.5670787755435,4102.4685064410414,16346.736782162785,12440.723499707306,42335.99999999999
164,1395.9821388619221,1248.5036530134432,470.1084821980416,3084.1831733493141,1844.2225525772819,8043.000000000004
165,490.83604638740155,613.03236456720276,601.52143524888425,1583.406321498233,226.20383229827854,3515
166,4027.736852960194,2124.9635293532501,1135.1564222358541,6184.3142362297003,17467.828959221017,30940.000000000015
167,1624.1241836037384,1220.3212042122218,1490.7334346834798,4107.2229368987355,7116.5982406018256,15559
168,4238.4999509853678,854.75793254524206,1837.0877691546423,6347.2032107477107,12103.451136567041,25381.000000000004
169,3094.5434404111625,2755.4280946009299,4182.2344426364089,8996.9968764675232,10141.797145883987,29171.000000000015
170,5278.795974021511,6917.8681410576983,5835.8889223170145,11879.056656811628,12255.390305792125,42166.99999999998
171,4824.2450202626842,4381.9203044915948,5429.6348363745428,14070.484246352638,10408.715592518533,39114.999999999985
172,3019.517467405009,2896.9232225649944,2901.0806937786392,13809.804647734507,3816.6739685168509,26444
173,4346.6111489954601,4065.3696051104976,4174.6193325231552,7114.3190755551459,8316.0808378157471,28017.000000000007
174,7950.2007490598717,7752.8398348967257,4259.745608293103,18011.006087171918,8928.2077205783553,46901.99999999997
175,4968.6312053592883,4490.556279381005,6223.0713132380552,12351.744716848856,8627.9964851728018,36662.00000000001
176,5477.4133798530074,6062.1057852886133,7389.245461483195,19117.725932340851,8608.5094410343299,46655
177,3037.7398875146514,2465.6964219015367,1459.2785086527131,6464.1968101563161,1034.0883717747802,14460.999999999998
178,-,-,-,-,-,0
179,-,-,-,-,-,0
180,11840.185576066475,11524.739573837567,7529.3512738536156,25043.230837808722,12591.492738433628,68529.00000000001
181,11199.281687027735,5125.0769557985504,8109.0354726956157,15104.705178050552,7056.900706427552,46595
182,6684.9424929208581,7043.7081107214481,4856.7009110068657,17268.843332084958,10013.805153265883,45868.000000000015
183,8573.0891804645853,4942.5710001488796,4229.7948279794537,21200.677810738318,7299.8671806687553,46245.99999999999
184,3264.3990570077581,3650.5529458502165,3800.0585978813688,8595.3303672342117,4375.6590320264286,23685.999999999985
185,4701.1690070134928,4185.6943619017766,4528.3757446667478,11020.21763650122,1998.5432499167612,26434
186,1168.1479465600764,1474.8204534083004,1233.9047441583582,4180.1846989726409,2053.9421569006231,10110.999999999998
187,8240.5538734705806,10068.163934340202,8274.020739147265,18245.686283691528,3696.575169350428,48525
188,4154.1502115157364,4170.7748281658114,4685.4226162525802,9020.7383822044012,6735.9139618614799,28767.000000000007
189,9371.0305823703511,4998.6898395688804,6296.3220323086862,22748.794185967781,6490.1633597843102,49905.00000000001
190,6473.2662688280243,3805.9976369869664,3660.6834182461034,12084.442602782256,10282.610073156651,36307
191,-,-,-,-,-,0
192,6715.076227266055,7421.3282372184804,5100.0210886879177,12923.876651713696,5662.6977951138424,37822.999999999985
193,4078.6695670577042,3683.0496046440253,5684.4898096550214,9396.6067613165651,2328.1842573266795,25170.999999999996
194,6035.945955941108,4091.7641127727534,2801.9081962999112,11301.778992661881,2376.6027423243413,26607.999999999993
195,6950.2189574353451,4990.8903004323574,6858.9745518272757,17581.884992358424,4006.0311979465878,40387.999999999985
196,9497.7813774905426,5692.9231621463969,3910.7565248529163,11308.256899552673,3190.282035957463,33599.99999999999
197,4208.0665561518226,2822.1947705599237,1335.5924108342981,8399.2316995780639,6629.9145628758879,23394.999999999996
198,6342.5846870987152,3128.5848428474396,2979.3840822469092,8768.2970968210921,4810.1492909858371,26028.999999999993
199,21494.30313681372,17381.076329027579,15968.663098238529,40766.583132491556,4023.3743034286213,99633.99999999999
200,9178.916596950985,5460.4493243529887,3326.4472704404538,11686.730766117107,3337.4560421384886,32990.00000000002
201,12561.445695528357,7247.0533663401156,7702.0249398521946,31098.317037172561,10520.158961106814,69129.00000000004
202,14430.020366557914,11891.333159294218,8422.4972341837183,32276.395110090547,8018.7541298735769,75038.99999999997
203,12018.093465895779,7942.6014696433103,8329.9627283810441,21631.989695473727,3133.3526406061542,53056.000000000015
