residence_zone,age_0_3,age_4_6,age_7_10,age_11_14,age_15_17,age_18_22,age_23_29,age_30_39,age_40_49,age_50_59,age_60_plus,total
45,898.25395327331603,332.08504601625498,664.17009203250996,1926.8877681881879,1724.9524808435899,1220.5263584819459,2733.1540042649149,5592.0678039102268,6155.9437227011485,4243.1519607306373,8354.8068095572798,33846.00000000001
46,1616.3621132153066,687.36184230366393,1574.750675925588,2188.7095994236979,1311.3759764325857,2423.8838149821549,3219.0683216214243,6028.9514476096256,5549.7348638266794,4833.2617179692188,7679.5396266900498,37112.99999999999
47,1299.8402640492648,0,636.49195028651002,749.39692937349309,138.60724532696699,1721.6472033175889,2725.8064693259212,4028.3603556147664,4557.8619525946997,3754.4617389814121,6392.5258911293795,26005
48,1181.533498966282,0,2114.855066280461,447.86698004885602,62.955894450020899,1263.0160063814108,2534.6213411797412,3660.3243196319636,3929.7462519985415,3411.0522487414692,6196.0283923212646,24802.000000000007
49,222.9770158091352,462.64142230470554,463.07677641027533,556.79342715186579,289.57392506330223,655.04170991841556,922.09290127872703,2295.2168752820635,2804.1341425286382,2059.0792632796515,4130.3725409732197,14860.999999999998
50,296.692539225872,346.79365402918597,45.610400329295501,331.13705565315001,222.4126945452746,422.71035663184409,497.59806077532505,1359.250657590924,1971.1938890337769,1313.299506952198,2755.3011852331529,9561.999999999998
51,554.46091795660993,174.389271228007,679.80228842685221,595.60473885585463,393.0296363851416,545.58719261358476,1019.2511526587161,2530.4180815584618,2983.6954467235228,2097.3431829795913,4311.4180906136671,15885.000000000013
52,115.341704388789,115.341704388789,270.45641029095401,444.17677551609302,74.242936158301106,241.00399276002361,762.07377544264739,1525.6047919151315,1864.276395099608,1367.3470334177105,2743.1344806219486,9522.999999999996
53,498.88770063163736,374.80776281848995,482.36703806695027,555.11238835050347,399.97271569584598,207.42079494264121,874.76546960132066,2228.6596803155257,2721.5965918004995,1705.2087362345567,4007.2011215420252,14055.999999999996
54,326.26578359944398,95.730679020196106,287.19203706058829,364.36268647482802,210.34700220084,236.07055200558599,590.15553954609197,1318.183741011635,1574.439067414392,1122.3933693286258,2319.8595423377719,8444.999999999998
55,0,0,831.62097746486074,697.19629247335206,685.68192013815803,499.86120150428553,939.21258054013379,2723.0374902783919,2925.3704084773644,2292.2084079290607,3884.8107211943948,15479.000000000002
56,706.00544371626904,827.30922205565389,0,953.85654883580878,511.17761267837398,714.14494738181997,1295.1475073006109,3281.8593800122071,4010.2204295116944,2425.2028777348687,5694.0760307726778,20418.999999999985
57,0,784.30410680795706,261.43470226931902,1062.1310866650058,538.32242473091492,799.115362227221,1501.1848634757609,3417.9040726915296,4305.440023965245,3064.2579056682971,6484.9054514987583,22219.000000000007
58,1118.220350550564,896.02522123583037,1261.349012651372,885.96423441936395,583.62101430369944,1836.7803097439967,2416.3946738764353,4898.9380120625419,6160.7059092214158,5187.124739350169,9081.8765225846164,34327.00000000001
59,1005.7453787632601,106.99517026568,1419.9109945171799,2493.1957018826597,637.35988088615397,2949.0625512257739,2761.2432595651562,7259.7212617215573,10301.26473988685,7842.0806132017897,13344.420448083956,50121.000000000015
60,0,0,430.70963306498902,0,748.41364228268901,1300.837630513824,1139.1026156861162,3273.361546369646,4212.9795248808832,3359.5026396951694,6210.0927675066914,20675.000000000007
61,0,0,729.26302246555701,0,982.638011990726,655.07143737245201,741.34072236443603,5328.6665665846731,6864.2887719576911,3868.3675110823033,7368.3639561821637,26538
62,15.376968239659901,144.044011572123,185.50622132510787,113.4842155390464,126.07154774294071,182.53889886399338,377.80276092842689,693.47540640326577,899.94469615243793,791.31457226791235,1409.4407009650852,4939
63,79.489795918367406,0,73.7372448979593,24.5790816326531,46.020408163265401,98.615160349854207,140.90014577259467,280.30612244897907,395.35714285714374,320.05102040816411,590.94387755102036,2050.000000000002
64,1146.5511029745339,746.15676795458398,1098.8679954527061,954.14137764777195,797.64374146590308,1013.745262050054,2361.6700737127967,4222.4943901568695,5820.3104472404211,4613.8797833492463,8564.5390579951036,31339.999999999985
65,730.5,243.5,1363.666666666667,1013.333333333335,645.14285714285597,953.0238095238085,1892.8333333333319,3437.0000000000023,4838.9999999999791,3919.9999999999964,7274.0000000000018,26311.999999999975
66,338.07583824659639,208.66591200618541,293.64225338514802,462.63112130701501,107.465354220275,589.85467966644308,667.38754500176469,1408.5515988250427,1984.0217948051866,1490.0577365430115,2831.6461659933275,10381.999999999996
67,322.41181526879723,0,464.27301398706692,321.23940866781959,207.88505933998198,352.91609812756195,595.97335549686693,1137.2344029481219,1659.2790080288173,1347.5764724274241,2502.2113657075442,8911.000000000004
68,819.90090055974804,626.61801617827291,1206.6532988639419,908.419291968175,417.00504693861001,1239.731129421112,1421.501226735282,3461.4680843006854,5235.6846330769395,3576.2885839424962,6686.729788014738,25600
69,420.57961706095801,0,516.07819983397303,520.90136058008602,462.9249377105599,388.74675613661918,462.92493771056013,1428.9983943199409,2142.483712372592,1464.3116025195739,2844.0504817551305,10651.999999999996
70,495.37891482520803,304.29125298221197,437.89742699318998,0,36.847734499059499,831.3042136089216,917.73956308282573,1840.8576573538219,2955.5013506163286,2105.0768214778509,3446.105064560581,13371
71,927.28235154286006,484.017152214009,2148.282656696982,719.11507618184203,944.95854096225912,1156.8750571824771,1535.5017568713718,4087.2629582322793,6161.3577381823789,4757.2903070966522,8379.0564048368797,31300.999999999993
72,428.25059234838301,797.17035985585403,149.705167615146,530.74470443176199,104.196440207338,776.98114017855221,496.90659975867754,1806.0443460167187,2685.1285369994748,1913.0012869821767,3490.8708256059181,13179
73,418.73044662566872,328.79823385866399,240.30224456884241,467.43066908125968,299.95301555129754,323.75379415409168,659.33558403872576,1295.1332802303593,2157.535382856141,1543.4418360805987,2135.5855129543506,9870
74,430.91573542079198,259.51779121971362,341.34336345130231,409.12786115794347,201.90096816906811,378.45817755167661,728.89131571398957,1705.347622124792,2191.3759758589977,1610.8537623025234,3266.2674270292,11524
75,302.90008917487802,462.32415996601793,429.46834934263234,493.68395859366666,129.05990278844251,623.94221061368683,713.08964242148636,1909.5775505797051,2615.9436943526166,1852.761013475415,3706.2494286914521,13239
76,246.53562045447649,190.30300594505221,338.57953157253479,401.52059833922397,82.622481844987803,448.21036362522011,492.20612376265433,1333.7023808065223,1821.2886034508028,1292.5806325746019,2601.450657623921,9248.999999999996
77,746.59867385122402,224.97564446966999,1015.4867925253679,510.83978867453698,466.55199417771598,528.74792833790002,1498.8120648056229,3382.1459394658709,4640.7911732764978,2982.6101441611759,6334.4398562544266,22332.000000000007
78,379.46683374611899,577.83940908198713,548.53188417018396,778.50846957885199,465.97771630463922,438.0172638574042,1082.1366147938668,2621.7514055569836,3542.3185065035818,2510.0812901450822,5050.3706062612855,17994.999999999985
79,367.65267345271837,70.758044373895501,378.60453383779208,410.48635726174479,166.18900584913183,374.62569532828184,528.94313540253893,1382.1869382628538,1902.3245943009524,1302.9301754561702,2669.2988464739233,9554.000000000004
80,0,582.11790909051899,890.38094564875496,704.54103481847005,265.80990874706345,827.5577051655622,1209.35547348772,2749.5285444219885,3729.1730077229131,2909.2127021941878,5207.3227687028257,19075.000000000007
81,320,490.66666666666606,258.76190476190442,464.57142857142838,318.66666666666657,454.10256410256369,698.2307692307686,1623.9999999999995,2279,1716.9999999999991,3286.9999999999973,11911.999999999993
82,279.08755194846037,644.44056371153715,0,573.65336004292908,319.21948289379202,468.34566408513604,767.89847706668172,1801.4688841316681,2409.344112180308,1814.3691228260477,3320.1727811134397,12398
83,621.87254375805594,962.01798057117196,878.15941027652491,375.95021963555098,69.921769403326493,1380.0689918598844,1412.1821335678401,3239.4438472088978,4547.0159713490857,3427.5471465603255,6464.8199858093412,23379.000000000007
84,457.77075410483002,404.61027943459163,810.4513025658722,480.62195968431337,355.38761770288909,969.52605560160248,982.98039310568311,2427.6616766075504,3105.1450741666549,2274.0869720046385,4429.7579150213787,16698.000000000004
85,129.8888888888892,37.1111111111112,248.42857142857139,138.5714285714285,155,166.1,265.89999999999998,633.00000000000045,780.00000000000023,593,1144,4291.000000000001
86,104.78018488620521,0,139.0303663865385,104.27277478990379,101.78329400492612,116.16667193624608,195.67071156935532,469.58204975710589,577.78551983536443,372.0584531128805,849.86997372147266,3030.999999999999
