work_zone,agriculture_jobs,construction,industry,commerce,freight_transport_services,passenger_transport_services,credit_financial_services,personal_services,food_services,health,education,specialized_services,public_administration,other,total
80,0,772.5169275086597,878.3132105562861,4680.042671884675,0,0,694.1663350671583,768.2339530881022,2034.7964883575391,3220.36686110237,2412.410729394865,6436.047337042357,500.9942006159938,8639.377426844609,31037.266141462613
81,16,2301.808172136547,1778.9209115134558,8800.969597926765,1289.8999604651185,583.6656883642611,3591.292943678712,619.9242647223454,1314.572288899823,1666.4353912699762,1424.4743698329,14147.95624097718,277.57392918093,8833.053054872997,46646.54681384101
82,138.046525159056,2944.5058578091307,3216.633026517924,8984.129455223714,972.694293421186,129.5733556252803,12360.144535418936,626.7784442983107,7092.818331936639,3203.22720506153,1347.2573739877712,19317.786975663632,1896.4210847554568,10380.15513750194,72610.1716023805
83,0,2082.166485779768,1056.714725292395,3315.927289322443,131.279475918166,193.6035551670296,419.6447219725236,541.4007370269068,3090.458128293853,1634.4693491808994,1067.9530632551548,7656.862823947416,378.34326715674314,12145.708508095886,33714.53213040918
84,0,1771.706125280729,154.94604484965538,2256.960465380515,0,0,203.25077401346888,541.764998263331,58.615986345502,1837.585874528434,2334.9678030524315,2938.0309374306194,0,3565.796745599904,15663.625754744591
85,0,440.8059167659045,66.4599678379874,121.5949494949496,0,13.2727272727273,60.0952380952381,769.5135434072895,320.47790169889504,378.1976693088706,863.264757744836,707.6265890725153,0,812.4345288978384,4553.7437895970515
86,0,250.14244321573184,175.23360677478829,1016.0473300609924,0,62.3549582683983,72.4133172116107,0,19.8768147339542,640.3586282008205,43.40677055146066,1262.6191745878596,0,175.9124030864495,3718.3654466920666
87,70.7856880189881,125.31054996951002,92.5680697676537,1517.0283500588505,37.2263758710747,78.72239686461549,0,466.77067750561554,0,1179.6279647099163,179.5427697173688,3203.810336633293,0,4795.890338376437,11747.283517493324
88,0,1236.0046295404193,233.8698822764191,5251.462805201207,84.5839507528222,548.704894197796,149.7235242214341,1358.2710780552466,1287.087733201678,2522.135200306231,1520.9350192918332,3595.475298055723,0,5577.697758429305,23365.951773530112
89,0,580.3400741709779,270.025895425409,128.3274036951,30.6621690036018,0,0,233.73094938150132,0,1116.233440285415,48.6,987.7884597026515,0,1285.3364908885628,4681.044882553219
90,0,474.0063131408564,256.5582341586122,1392.9077954180411,0,0,0,267.87182874771537,414.5267098066496,1647.330548150655,725.5666152210763,900.7915671502096,0,1472.149438555241,7551.709050349056
91,137.010125209934,773.912313807378,5702.10785154968,3967.9266769693977,0,1123.040907513301,1697.5661619187554,572.120462863984,797.1020130485074,929.2598766118441,748.212583427749,3728.120486067792,496.6211083825449,6522.333093568277,27195.333660939148
92,0,640.9590268276663,1122.0094666446944,2532.9677022383485,92.24475001318359,621.320474945098,1358.550030289714,26.6666666666667,836.530938015254,103.7575326577695,539.784135716908,4743.880871887605,2147.5402474389466,5057.354095833688,19823.565939175543
93,137.574798053023,221.61951617699208,1523.2513554279235,5396.425643002454,834.3982931843952,507.89973756062483,6450.017915505066,563.8583583831721,567.4805414187283,1574.039296618211,909.7180687840428,7088.59495546555,76.389489806394,5020.808518195555,30872.07648758213
94,0,333.3756809759803,2223.654309070298,5479.647563280685,410.1311074154576,0,853.2781440216673,222.789388579397,922.2930297056449,875.6316572828247,1616.8036541321262,2966.2826733841953,0,2709.345233431288,18613.232441279564
95,0,291.9772761228877,34.4235735286274,890.2138255035837,0,0,110.228952270601,579.3127686837092,588.6655228820216,548.6920712642545,533.5018498782986,2575.4718841543727,0,2851.637943902938,9004.125668191295
96,0,402.30120814663707,309.6685879096311,1316.2141171575477,0,62.6754399997408,311.014980812012,274.8906997354378,315.365385412441,397.5637704607658,617.012143587089,1812.852613469047,1509.6511143231585,4501.203151449558,11830.413212463063
97,0,1140.124678372507,192.3534306539106,994.2775306500406,18.2594953630566,330.6188355436614,764.8820080910224,464.711151907055,1180.5554704033607,497.44468299357897,275.6690852531953,3412.7095118747266,0,1696.263298726118,10967.869179832234
98,0,127.1184671571373,324.8989883851941,499.6848405486066,1387.6678322404855,324.5697809348162,132.913499796706,0,679.921270407342,53.8174655509062,0,1271.9930075874638,335.863021549902,1525.8493756577748,6664.297549816333
99,0,915.757775843356,6263.093082979908,2903.4632825003528,3974.3526435960657,0,1204.475803448295,322.339458558372,290.5085279692005,721.6241282564699,92.9157376533265,3839.4390797263745,296.7940982676173,4898.791841996641,25723.555460795975
100,0,3279.149146442002,3683.3538852616666,16130.42821034555,589.2973593924971,431.0101587809542,1060.6450664565125,1924.528628571618,3069.7855130311527,5210.115295709488,2338.290080320179,8532.823710615176,1814.7653836649324,7161.589151322568,55225.781589914295
101,0,593.3722914774144,544.2575737543531,913.1109879225943,0,0,287.66028809108786,0,305.0155883332367,2726.4781216822603,1406.65913296723,1385.7195876013989,0,3900.0310988304054,12062.304670659982
102,0,504.07530811336926,424.367521481705,1699.8274844452258,0,0,0,425.23592039258,2175.0356129074494,1270.5783378662957,220.2234751433523,2319.6076949176736,0,1575.752650606432,10614.704005874082
103,0,788.3765560981021,134.21054104174831,532.3543296967243,0,0,0,0,219.443970584171,566.2189830264971,41.5790678751773,523.9275631007104,0,2458.8280444354045,5264.939055858535
104,0,587.0995402759282,12.4709194134226,867.1198966101578,0,0,0,27.1731807828084,122.33651987632965,440.12650459654645,43.819146118763896,726.10672156218,0,1245.0025394943566,4071.2549687304936
