origin_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
30,429.85130626898035,584.78135075277487,6030.86424263753,4679.3128920263089,665.65519307599038,1260.9275755625904,1775.9117796155863,20078.463920542039,0,1668.8244826416801,843.11964797270798,38017.71239109619
31,1911.8104668737487,767.18254798488886,8387.1465003422454,5526.7385268511434,1540.5674945877602,1531.9656546392068,5648.9772546239492,69088.378179703112,0,2273.3563378204749,2755.3429402123506,99431.46590363886
32,372.79870097849567,433.19618442424064,6978.7931014441765,4103.4541563350722,617.76813360559106,764.40694063949468,1885.0681042191068,60059.91848201734,0,713.19327384138739,3518.6316218184311,79447.22869932334
33,174.20460637806411,53.976295126682459,471.37483098083362,786.04279689563566,207.21990300942332,231.40632424971423,89.220946166835631,3794.4266453730365,0,116.18123584852633,201.61887091845904,6125.672454947212
34,221.32423835007384,367.12843300096904,3524.865036066285,1588.3058577345364,327.35752026617774,387.89345579511735,708.41998734093681,14219.477107249684,0,576.17274759948543,128.67954923888354,22049.62393264215
35,636.28056651095528,2566.094320063748,16961.859326804381,12659.481605000776,2235.1769617706336,804.66618567330988,3519.1438694143671,54692.416660902374,0,893.87325225392192,1738.1019029376562,96707.09465133213
36,300.73864513080395,1432.0489761143294,18591.17277892795,11424.869876833438,1808.1727594024385,1229.9279752961177,3129.4528577470278,48843.448642406722,162.88655418847208,608.9789774910098,1120.2594460574846,88651.9574895958
37,271.89234125663438,393.22936219760044,3923.1444461035085,3455.2760428634128,214.56998319367136,105.44014302920297,920.01226798626374,11206.748656988982,0,203.34115358114042,180.8930949958534,20874.547492196267
38,57.278385298012495,1182.1420944394265,524.00755410713555,3339.5365215673687,201.0228385280804,107.69741571047516,311.63048757833644,5639.4873201135906,0,81.012268540233705,0,11443.81488588266
39,467.97059702987463,1862.9353246548112,2323.1361822470485,6256.8098019224917,424.15591380603786,0,700.81304755634233,18620.578184554048,0,529.89247213469912,0,31186.291523905355
40,258.39246335304546,2140.4577766073162,2964.7346056086121,3528.2962118488831,303.69288977968557,197.82147392454888,47.192745825124106,21970.119238514864,0,978.01416826591048,159.7287163041423,32548.450290032135
41,616.88758495800789,1739.3718309620363,6679.8788981751923,6549.6335616320821,1412.5468311251516,785.01913235100562,1577.4262719548117,34902.849413330492,126.2829017667474,779.11388963039485,0,55169.01031588593
42,268.98362027292933,989.21709397459335,1672.465274136953,2770.7608506952374,173.00338318277932,51.432201345939951,217.60700434166819,11091.462453050788,0,51.337153387221669,121.87706681436956,17408.14610120248
43,898.68364405250497,3845.1746676220564,9170.0989992267878,10664.442526661516,1073.6497561947208,979.37279129102353,1497.3554928802457,45223.745600673086,0,1510.2650491296893,1187.4406431103905,76050.22917084201
44,27.772070402335164,1022.9622510283493,5973.6290408756267,2866.9183681189484,312.5886715758578,1033.2881943713933,32.964831477274927,36518.28272485589,0,3800.1777844176686,1164.6258783717726,52753.209815495124
45,1285.4689362096515,1507.7586049067554,10688.226567848937,12929.673130607096,2346.9745787495071,3126.0342121099366,1357.3607554855425,52616.091835822837,0,1518.3331867102343,280.30336366666825,87656.22517211716
46,1451.7826198245632,4223.4583026377013,9594.3666464458729,12865.420005413987,946.80490658167332,183.26208877636972,1307.242284093852,26205.094449595668,324.54454878635198,423.35047527125101,0,57525.3263274273
47,652.77077837763431,3004.8739598172833,9728.9695657168304,2498.0122215992983,1021.3390030850486,621.42622327812694,1324.78384266792,13583.268316895874,0,0,0,32435.443911438015
48,0,793.55036685772711,6709.5187174322173,7524.7310657968237,2533.1901470771836,254.84864434970453,1021.1422088952947,18874.267112233672,0,0,727.64703377371438,38438.89529641633
49,289.61305404884888,652.71573080255405,5110.5596236024085,3382.9402302205976,632.3592583422942,1482.7611566930686,963.38847985286918,23786.956345674771,0,422.76263083457957,746.93619149742813,37470.99270156942
50,919.53602531679053,780.83150764985123,2227.0563562298398,1865.606057793563,1972.266096975331,770.33954862789415,190.10243876942693,8675.5677771034443,0,70.278207835061764,0,17471.5840163012
51,742.81072545577877,1259.8107289507304,4622.0747765199585,5402.729020880839,1040.6056060804615,963.44600164367648,678.02562580242761,12965.88335009229,0,683.38974224683352,0,28358.775577672994
52,85.458018438083883,979.39101166043019,4564.4574420600575,1414.6125729256805,1074.0643099395411,1272.4911628313491,363.77297830053652,13344.236837725131,0,1100.2461299686165,150.79294739781255,24349.523411247235
53,113.56726017175362,855.8341440293251,7295.1841978159655,3097.1013345367614,320.32663723495193,816.17866369155979,991.76993062190138,39012.782901262442,0,746.78600008058766,2818.0065831964494,56067.537652641695
54,482.77535327757857,362.88019833649764,5485.8799931579761,2048.0438288967257,1597.3667882050152,218.1310399224914,2109.7686038622401,42123.078997205834,0,246.12770460368407,1790.0594876225309,56464.11199509057
55,940.95149427673186,445.19342061643465,6624.3583739409059,4087.2496300827202,965.81490691104875,259.79780732176317,873.42205024052726,34272.459100728978,0,1608.6524083611798,642.22622197489704,50720.125414455186
56,1020.1734279365658,583.30982033772659,5149.83355348655,5140.5358746752372,1386.9132394843145,176.9984623522345,2621.2249852356849,36178.985374557844,0,1882.2528466708625,129.75129110197835,54269.978875839
57,418.54892320601783,682.59121911404611,5884.74137414912,5980.8556911917867,1666.6654359644035,1505.9532048758024,2382.2596517196644,48838.244380381526,0,1298.1413133625849,941.06364179493346,69599.06483575988
58,923.15191315529091,1537.799399641882,11760.800814518761,9466.7208321422859,1859.4023253873231,1844.8250674716433,4723.0673319797397,28280.806071080347,0,1415.5492958300492,1605.7632402434774,63417.8862914508
59,1497.2520469004814,3089.691646531332,14271.90792558899,9407.7287149676522,4907.8007202991976,1922.2230284879781,2882.6970183509902,43084.176525177332,0,3728.6080320495967,1134.0585985705818,85926.14425692413
60,1040.6352951779456,1151.2244685491871,6362.5419086542515,3855.2150970379789,2984.6956386036518,1591.1554725360502,39.417285874837056,23958.36392120357,0,342.01188346010349,32.807029775529138,41358.06800087311
61,1902.9952923430753,557.40370439408798,9172.2973963884397,4080.6037227610732,4481.2086955269824,925.74240167440576,1523.4519703685344,27303.55628735535,218.92609761576733,2651.6561174227436,395.12534238351964,53212.96702823398
