destination_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
115,3787.024448017452,5737.481598478339,19045.777979322735,29372.001371465652,6104.9854879279283,5793.4233236596174,5773.9552626193645,0,4366.7390485550068,0,79981.3885200461
116,7974.7443791889536,17401.166105428147,67822.367522082961,131705.09476711493,6853.4127054051069,2109.4792771753337,861.07507808609716,764.99484239613264,4714.4834239386992,0,240206.8181008164
117,5452.4840992827658,3780.9044050911284,26285.021840741902,29421.897140877336,3080.4109654745298,7661.683768097444,4170.1889366798714,0,5347.769066298084,0,85200.36022254307
118,1420.289426128104,2683.69008999978,4804.142629075679,10286.169486010342,425.75334021531251,793.917311441729,218.0476546679092,0,1255.1039696606194,15.703639519772931,21902.81754671925
119,3300.219575511635,10625.222977423602,31123.995431222327,65980.800668722441,3276.4474841127853,3990.1064698916339,1033.6098650338656,0,2217.3038310209995,0,121547.70630293927
120,-,-,-,-,-,-,-,-,-,-,0
121,10514.845437660721,9432.8856113277343,21285.129035405462,54595.077426525437,2307.0814540762353,2816.7598292986727,98.858618527446637,0,3422.381242832766,0,104473.01865565446
122,1904.2997424530067,7735.9812982095573,10500.900251759154,34670.789860343386,337.8551061505554,304.81324408937388,849.77569222728857,0,948.25405916261298,0,57252.66925439495
123,3030.3387435808854,6018.6854307388876,17431.618213926031,36482.105056001768,458.87138385415193,883.73735624172332,6924.4487567930128,0,2543.4271273533027,0,73773.23206848977
124,2084.6964177269451,9209.0812650362914,18610.720668560749,49535.32122693117,3478.0765247532058,2804.2076285966905,947.27222689770531,0,1866.8613415852983,0,88536.23730008806
125,6762.2449628775439,5433.1215979889803,21846.22718465644,33281.526942451557,973.77110401786331,2332.4503637729613,3460.880686382025,0,1027.0209996979122,0,75117.2438418453
126,1308.2961419366854,9254.6285090444544,21123.417212707493,21492.330940747393,1481.1521030451142,2213.5745626750959,2013.7527697812613,139.67958940703727,1102.3209165071212,0,60129.15274585166
127,4142.6992755161527,9705.2725073490947,28969.640331449646,51667.660931400496,2124.4741036618934,3917.6139425307006,3557.2001928492723,587.12105876067528,6821.146778936356,122.87062755338762,111615.69975000768
128,1849.6104327838477,3553.5424009745875,6581.5453350860871,2261.4582302051872,213.68891839430935,5345.1427916480343,272.88390949668366,56.311404984194198,3440.7581132196178,148.06221315008207,23723.00374994263
129,1976.4441258332208,3258.9573990476888,14537.32323293117,3443.8877782852965,1862.5226183256011,5839.1167030299457,1198.7187472459807,467.5916993459449,3762.3724229084178,239.59007910517329,36586.52480605844
130,224.36830427655093,1327.6403275746657,5696.3595419787225,2763.0390174167264,320.19401117196372,356.74000512026151,101.75532251839182,0,2061.8624418693494,108.57176607402769,12960.53073800066
131,2643.1222773330092,688.24023579595655,5826.1635275771669,2333.8401002680789,432.63598693482885,500.44654430104026,2068.9661747059135,0,3197.298447509289,0,17690.71329442528
132,677.4379109098187,461.40439022725678,4835.7018289835678,720.77238908957804,0,1290.1082955995485,1277.1838703207361,530.84370892601089,526.42913083944757,1003.263369692066,11323.144894588027
133,3834.6238964900122,8584.8202589736229,28172.492037755066,23272.207162533763,1834.7312238369789,4803.8926108630758,2187.1914412080814,0,1414.0793418020844,615.35194682060569,74719.3899202833
134,1572.8049002648054,3108.7649344597626,25305.485949432503,21991.886854493561,3634.1136879536725,5736.5473898418068,672.74921311191497,0,2102.9765124003634,322.40772137771916,64447.7371633361
135,2794.9081366233377,3043.1337618718117,21712.878423379574,25574.805071999464,2362.1427322745394,4736.1422383871031,7199.1081206273893,0,2322.6881926365932,288.41545843517287,70034.222136235
136,8236.0336731084699,3369.6530058332141,24744.343443314705,18390.951533352207,3318.6092977405383,4903.6733537070277,1866.4032661559766,56.311404984194198,3340.5221127736809,1131.075523478396,69357.57661444841
137,1711.759991013583,4854.5105926288197,21068.806226384251,29705.009339597535,4078.969518706414,2782.1643965256944,1035.9865810410313,0,3599.2439595003266,1561.711477924461,70398.16208332211
138,5468.8756957784517,5832.4771516813989,10137.252542607994,8515.1860362512125,2749.2937502516361,412.840336682903,342.56819246842633,0,769.49008885432363,0,34227.98379457635
139,1892.2346031652155,3558.6643778520793,13020.167306622643,21330.206351980632,1699.7959902714174,4810.2359859161206,3167.4620460865367,232.71877505014726,1020.0971576310868,0,50731.58259457588
140,2914.7107665632852,5495.5545706913199,13186.982505211559,22873.546807604958,3561.7154307513629,2776.0280238110249,2101.9967799214228,0,4850.5862226159015,0,57761.12110717084
141,7267.0797572197098,20365.983670860776,52717.966116783413,47600.476619153415,5324.844089458531,10583.625883975616,3505.0565845993156,427.33367708584774,5201.0819422494878,0,152993.44834138613
142,5541.3751454728672,5432.3121357463033,29975.556614475026,23769.997789375968,1682.6037609484069,2103.152258958683,197.4068856946208,0,2057.7836358631748,0,70760.18822653506
143,-,-,-,-,-,-,-,-,-,-,0
144,2945.6075826565402,16070.430824971741,55660.967940948321,63116.981521745438,18743.227162518309,5016.2084502644466,8901.6538819548969,0,6460.6844717177582,655.31723976823127,177571.07907654566
145,31.963362061745702,639.39156917579976,3466.6923971211149,7234.2118720333374,713.75756386183366,194.80869603467434,733.58035251898468,0,190.65488773826206,151.05648144736131,13356.117181993117
146,-,-,-,-,-,-,-,-,-,-,0
147,2692.2994522921713,5941.2033076708967,15446.406969800943,15438.942466142344,855.47159602871534,2183.1155186412716,374.00614905335078,0,2291.4207996362206,0,45222.86625926591
148,1181.5231558652597,2120.4939767254605,15266.626610509491,12344.063140599495,341.84547463842785,2842.8572850274131,185.3176825113473,0,2290.1079771057184,0,36572.83530298261
149,0,0,0,0,0,0,280.00685782011203,0,0,0,280.00685782011203
150,6091.4042168906963,2672.9803572062206,21496.949405176798,21280.561694592347,478.79796999583328,2886.6447355172054,3624.4322696919985,0,684.19849228038538,1231.7382613895279,60447.70740274101
151,8383.1500371082038,4320.3256543703747,45375.154939348024,23899.642275542068,2599.680214612903,1492.050536478675,8917.5796454876763,0,4219.273322796018,169.30543149364729,99376.16205723758
152,2177.1465349747359,9276.371399749798,11047.453099898701,19737.363213145698,4198.4283510259256,5789.6402299145948,4141.4498737275508,604.36146739766741,3855.2690201351647,0,60827.48318996983
153,1552.8089787332776,1499.2655145817373,9837.5769549672077,6908.3609765247074,3992.9395509212186,2626.6769215151512,2987.3570649767298,0,529.56164884150235,531.65691614294929,30466.204527204485
154,3462.9806513416834,9475.8545266624187,29924.84640343659,40642.735745807731,3436.6461040259819,2205.4099433988413,4794.983309847169,0,6739.3670990430264,689.90117726636231,101372.72496082982
155,1671.1967785977315,946.06439265644917,13308.206623304546,12528.39098434777,1852.824293822709,2529.4471572559514,1079.5648799870683,0,1341.4510259693654,583.60820676737876,35840.75434270897
156,4939.0247664551798,9948.2115241970732,15838.778086477147,37348.774574460753,9324.0395814306867,1176.5638210485322,3608.4292266414941,224.03492100267525,4221.4423711869867,1027.1722152232562,87656.4710881238
157,1312.0618264606017,2200.7976733146788,6047.0880041521705,8690.7826098598034,687.87963752356927,946.14421587469019,654.49379716576971,0,358.30470176824866,0,20897.552466119538
158,1697.8972063107447,6396.2520947300536,15210.55326029338,25547.527858744324,687.37207994332277,3946.0092899642045,472.9992245452114,0,4008.7203793614576,21.118070256532718,57988.44946414923
