work_zone,fixed_address_jobs_outside_home,at_home,no_fixed_address_jobs,total_jobs
192,6484.782876848123,3422.4123504876434,1852.847856517866,11760.043083853634
193,3840.075675596149,1254.2958250057648,810.8964493437951,5905.267949945708
194,4583.903463313795,2019.040536672332,1290.9516100273086,7893.8956100134365
195,8724.383548128042,1960.2942088748853,2264.562689566784,12949.240446569713
196,3305.872341097688,926.675094483831,2492.2577535286155,6724.805189110135
197,6737.716968820489,1798.5215225382335,533.498508754071,9069.737000112795
198,23055.514091664227,1329.695870829994,776.5474301250692,25161.75739261929
199,8786.580689277658,7859.315114963331,7047.057081497103,23692.952885738097
200,3229.4643072685476,1523.8147010183998,237.661366968322,4990.940375255269
201,6953.767538708463,2736.9223729658493,2294.462204815177,11985.152116489488
202,8922.76665722346,3823.012168140647,3332.211464658392,16077.9902900225
203,3536.972181632754,4456.454423282664,3618.6961331733014,11612.12273808872
204,16777.950405667114,11741.596869936067,4154.490714791907,32674.03799039509
205,11417.27435073548,6844.424848280049,4952.2253744255895,23213.92457344112
206,12057.443525528042,4651.568225598285,1864.2458884276832,18573.25763955401
207,9532.609366205328,3431.656215072104,4514.67856492766,17478.944146205093
208,28955.996374656712,5945.399513755951,988.144493946583,35889.54038235924
209,12562.529900678015,2787.2863042223757,2867.606205497083,18217.42241039748
210,16197.23393310392,3131.4190913004286,2947.494691267689,22276.14771567204
211,11746.249899853958,5131.1112254834,1265.3216053800938,18142.68273071745
212,9440.970896552739,5931.894349400689,3891.506855417087,19264.37210137051
213,18637.250894245983,2900.6976079185356,3154.482371905037,24692.43087406956
214,11887.946650025173,4051.096017740091,1502.617014247145,17441.659682012407
215,12691.215905197354,4040.3025563182064,1821.6820210846531,18553.200482600212
216,7706.972673083711,2663.603941760986,2623.2121398808304,12993.788754725529
217,6131.788698340273,958.849033237497,1689.579292359046,8780.217023936817
218,11836.159228051896,3332.3910180121443,164.715217614884,15333.265463678925
219,4203.259828551392,2322.758744068547,3418.89047825207,9944.90905087201
220,5713.726946392433,3113.764113261833,840.3114314308518,9667.802491085116
221,15095.924644349912,5524.978912954245,3799.7393153713338,24420.642872675493
222,10102.892559380432,4502.6923140712815,2775.983452194767,17381.56832564648
223,7139.470464347544,1200.321821408985,1321.564292868384,9661.356578624915
224,1354.148231975007,0,0,1354.148231975007
225,11735.270853293689,3519.9231382969106,4029.29846208291,19284.49245367351
226,7412.941603762725,4164.3734556400295,1764.678962249994,13341.994021652748
227,20221.75602219418,431.8481465872072,1438.18811838119,22091.792287162574
228,2916.94051518082,2728.815621836078,3625.3847117735654,9271.140848790465
229,14958.383846723837,4766.171137412685,3832.7257961020673,23557.280780238587
230,12128.849861107245,1813.955673485339,2679.0560197178143,16621.8615543104
231,4793.709901050559,1252.795382562743,5708.094638454884,11754.599922068186
232,4095.390043720449,4194.26692425169,2309.333274865406,10598.990242837546
233,6331.851038894352,1575.7859665767255,1476.146574694636,9383.783580165713
234,5688.3415838927085,7628.8021964160225,3008.8002374791,16325.944017787831
235,11614.592088750134,5381.615320175204,793.352181260172,17789.55959018551
236,11509.869352090564,1503.4575093980368,309.88654290046156,13323.213404389062
237,12012.82709098132,1398.9790844321503,177.2572407058991,13589.06341611937
238,10172.250218840943,2122.2969647838786,614.0359965381421,12908.583180162965
239,17264.691806462877,1848.3815222004891,283.2843404739346,19396.357669137305
240,13282.232139808124,755.8524312754066,1270.6027974587955,15308.687368542329
241,11126.266948942784,675.9651350713928,454.94524110401886,12257.177325118197
242,11043.907652236863,6338.267602958904,659.633571314718,18041.808826510485
243,22799.44661635332,2960.4680487244664,1565.963770317491,27325.87843539528
244,10767.430993772079,3533.7301200460047,320.516692901244,14621.677806719328
245,3040.8876565750093,795.1821496707141,432.5778103766761,4268.647616622399
246,3514.765081160814,3328.695073898348,1212.0114834331816,8055.471638492342
247,16367.755552528086,3792.2984428850054,467.19487290966,20627.24886832275
248,907.2713477793293,0,0,907.2713477793293
249,4908.745372887421,2333.093910724018,570.9572121023541,7812.796495713792
250,10642.407337322027,4955.76837676755,498.0309439487013,16096.20665803828
251,4873.761764117044,1921.633401744059,0,6795.395165861102
252,3678.5605896103098,1853.4391314178972,778.5831114303752,6310.582832458583
253,5264.3167187406325,236.32500152803289,157.07818194800137,5657.719902216667
254,27703.7898208594,4456.8915673490465,1055.329473890475,33216.01086209892
255,15442.442685382026,1432.959438127005,4746.29789883565,21621.70002234468
256,3803.7457718423216,3607.45227832886,1029.1145697592983,8440.31261993048
257,5614.078435989646,4623.999701139927,1631.206623694546,11869.28476082412
258,8834.323084174075,9583.743034610781,6413.7006143638755,24831.766733148732
259,3492.1900330176604,1184.639900399718,1024.129421785571,5700.95935520295
260,4177.242019756214,708.171184874477,2396.606338240246,7282.019542870938
261,14797.287192698608,5365.014777172711,2764.547144995559,22926.849114866876
262,9873.256350035705,6226.378921886077,1863.539555272176,17963.174827193958
263,13980.906910938444,4967.383873430833,2324.972439561972,21273.263223931248
264,25584.690970606796,3008.249547984732,6673.448797376883,35266.38931596841
