origin_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
58,24803.690552288474,25969.369489451135,50773.060041739605,12644.82624971118,63417.886291450784
59,38267.398418200806,34082.047900596444,72349.44631879724,13576.697938126888,85926.14425692413
60,12331.523145532376,21512.036014070243,33843.55915960262,7514.508841270488,41358.06800087311
61,23753.778222220593,24080.455405693509,47834.2336279141,5378.733400319875,53212.96702823398
62,12306.463923591944,23120.525010206955,35426.9889337989,4497.199435856751,39924.188369655654
63,16084.846439376479,12419.668516537427,28504.514955913903,644.4275752031942,29148.9425311171
64,31389.38261867837,43850.657643444676,75240.04026212305,16004.911641619266,91244.95190374232
65,16857.829065496589,24602.612460137323,41460.44152563391,12015.183025344806,53475.62455097872
66,21670.238242703421,31529.897905303231,53200.136148006655,7667.651146837899,60867.78729484456
67,9859.9798008831658,12376.770123597231,22236.7499244804,3253.2458229400863,25489.99574742049
68,42025.501344314493,42387.548356644445,84413.04970095895,19874.792524004748,104287.84222496368
69,27354.752279567118,19462.458947710438,46817.21122727755,15716.475943436046,62533.6871707136
70,17202.849181643876,19982.483629789269,37185.332811433145,15446.805525507074,52632.13833694022
71,21747.047355154726,35587.750136628762,57334.79749178349,24195.11564754438,81529.91313932787
72,13881.567967144692,21615.675790871202,35497.243758015895,4129.985107344755,39627.22886536066
73,61424.971275726501,67009.398574263338,128434.36984998985,23697.76030915617,152132.130159146
74,41204.627329953415,22281.245315226857,63485.87264518027,9290.241952115439,72776.11459729572
75,9350.1546605333715,12519.027201310824,21869.1818618442,5564.400335425437,27433.582197269636
76,13726.875841425659,13642.988176606083,27369.864018031745,3970.001941093896,31339.865959125636
77,38967.840877329989,32121.730633685125,71089.57151101512,12517.858218757969,83607.42972977308
78,18357.508489663262,16492.239122208099,34849.74761187136,10097.53795099084,44947.2855628622
79,39790.066289422844,26480.759822827731,66270.82611225058,12392.48890114791,78663.31501339849
80,23239.234618034949,22530.560619426797,45769.795237461745,12709.23703462052,58479.032272082266
81,22056.060632511726,29906.269260071818,51962.32989258354,5351.011083768936,57313.34097635248
82,46721.572657310295,47924.410245641018,94645.9829029513,16291.655151652963,110937.63805460426
83,23273.750538740624,29804.319621294089,53078.07016003471,15335.676916267535,68413.74707630224
84,14090.588752616564,24991.807689862315,39082.39644247888,9273.01192506347,48355.408367542346
85,2051.1109220197859,8693.3667890459401,10744.477711065729,2273.9421296146656,13018.419840680392
86,3573.2145423454713,3491.1492887194536,7064.363831064925,345.58122671670174,7409.945057781627
87,10860.614230440813,22081.218814722073,32941.833045162886,3879.2939865158905,36821.12703167878
88,22906.033279884719,42827.418561468156,65733.45184135287,19404.772189716765,85138.22403106964
89,4169.5381112449313,8687.177454499244,12856.715565744176,1555.134192015769,14411.849757759945
90,8724.8168857040528,11926.677428051928,20651.494313755986,5946.210588300765,26597.704902056747
91,33303.625407247178,15195.59656712745,48499.221974374625,4938.853115791215,53438.07509016584
92,21001.284375298452,17190.628328623938,38191.91270392239,2306.9578821168748,40498.870586039266
93,44818.573204078435,21118.133217185619,65936.70642126405,7653.377341237807,73590.08376250186
94,17842.702098566977,14811.857292634397,32654.559391201372,6838.871913870133,39493.431305071506
95,7024.6137818788575,19374.533361024663,26399.147142903523,4364.879129278924,30764.026272182447
96,10828.847906936187,15777.767053285104,26606.61496022129,1989.162759150556,28595.777719371847
97,6483.1360731918494,15403.920656872298,21887.05673006415,3704.6602154240177,25591.71694548817
98,4871.1182164479651,8997.8887385631369,13869.006955011102,6428.213860325533,20297.220815336634
99,13920.904752705123,11579.604111650808,25500.50886435593,4332.289062183124,29832.797926539053
100,62638.002167448787,48184.360462213146,110822.36262966192,19470.39895775524,130292.76158741718
101,13473.356314206589,11663.766752031515,25137.123066238102,1248.9347977848802,26386.057864022987
102,10995.921626253086,13850.902119029841,24846.823745282927,2328.8372823817426,27175.661027664668
103,2804.6816115323963,3696.2519066232239,6500.93351815562,375.51087948436015,6876.44439763998
104,2543.2601796890822,5245.9675003027787,7789.227679991861,2210.137503835646,9999.365183827507
105,8378.1537517075813,15795.991451147373,24174.14520285495,4701.066682797259,28875.211885652217
106,13382.961125119169,10509.740962801978,23892.70208792115,5159.312820929777,29052.014908850928
107,14674.915959338923,19004.128053949684,33679.04401328861,8984.355082128568,42663.399095417175
108,8352.7987888540301,10767.760704703665,19120.559493557696,3091.848413234393,22212.40790679209
109,60909.288237285604,72216.45370348866,133125.74194077426,27888.50036419267,161014.24230496693
110,48103.755239297032,23956.298451106974,72060.053690404,25431.505468361705,97491.55915876571
111,21064.976727584177,38618.739085583322,59683.715813167495,12956.503631888265,72640.21944505576
112,19826.576019653079,24198.655153788339,44025.23117344142,12256.636336045987,56281.867509487405
113,16191.291135645435,27034.117979554576,43225.40911520001,15879.884326749569,59105.29344194958
114,-,-,0,0,0
115,37255.573548338019,27004.618935572726,64260.192483910745,16386.89051838439,80647.08300229514
116,103836.07294367145,44181.581793885991,148017.65473755743,90704.83521325908,238722.48995081653
117,36283.610369642884,33322.207425233879,69605.81779487676,17559.93214818303,87165.74994305978
118,7673.569104178584,4877.0113710816568,12550.580475260242,9274.593395736436,21825.17387099668
119,60433.656370879813,25106.332312062688,85539.9886829425,34439.59865059547,119979.58733353796
120,-,-,0,0,0
121,46245.865294745337,14135.215654234806,60381.08094898015,45300.8001545703,105681.88110355043
122,28159.909438035822,2712.1554456511813,30872.064883687,26312.866655714213,57184.931539401216
123,30319.533183745822,18350.219158706281,48669.752342452106,26569.743580443486,75239.49592289558
124,31391.465636503726,26487.375913373617,57878.84154987734,30265.678742895245,88144.52029277259
125,31821.299766597745,22772.983266751929,54594.283033349675,18745.114806064405,73339.39783941409
126,22479.84319361889,21096.548979640713,43576.392173259606,16729.20883752632,60305.601010785926
127,43962.975835246914,41622.537794587763,85585.51362983468,27406.67248626068,112992.18611609536
128,10475.06946106573,12574.220406397095,23049.289867462823,935.7131810926054,23985.003048555427
129,16694.945708806281,14787.80804190896,31482.75375071524,3592.4261908027083,35075.17994151795
130,5006.358136412452,3843.1147843000554,8849.472920712507,4166.584933276328,13016.057853988836
131,11631.925613032439,6804.0346428233697,18435.96025585581,777.9280040531578,19213.88825990897
132,4865.8705783966852,4761.4646436657404,9627.335222062426,858.9648075764078,10486.300029638833
133,24940.807697125136,37240.163536841799,62180.971233966935,12593.66657189995,74774.63780586689
134,24934.563131525003,28767.111353805805,53701.674485330805,9443.497609871383,63145.172095202186
135,29735.181060702267,35755.507929211002,65490.688989913266,4487.275588595382,69977.96457850865
136,25533.157829848828,29677.082457724369,55210.24028757319,14036.27174697488,69246.51203454807
