destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
13,3273.6569595431356,11545.299106230828,1868.2127037856733,0,33.56766104038121,4698.735392573724,4868.450011356988,0,1899.1239884252668,390.43467445686593,0,510.0269163174198,1638.859740395712,0,30726.367154126005
14,4848.81559151967,11576.62262775929,11245.150829339991,522.398145918999,517.2819051371677,4824.389075499618,1220.456660604427,128.77653893924844,569.2124039393534,1980.2237117753905,0,1328.8097963832504,7013.074898799674,0,45775.21218561604
15,5996.500770204158,4617.725658358975,3062.955091571741,225.71417855694204,457.7408071985088,4294.3090091753465,1044.1541639748882,0,316.8512357089058,1171.2708239455849,0,252.0849374202661,4172.252949202937,0,25611.55962531825
16,7886.617732826133,4891.281636721753,10456.518990620953,0,1131.8294159529626,3511.2154281124012,1104.9015655751575,0,409.80744882935267,1387.3645560152454,0,931.7411711085208,19025.272993889048,0,50736.550939651555
17,3734.0700181950633,1825.7024018331656,3390.9037637514866,0,50.21325294363941,5141.589979118045,361.58960468272346,0,821.7288692263872,48.41152935907828,0,1181.4751033776151,8060.126317923531,0,24615.81084041072
18,9736.714009595671,2953.7016241350575,11642.30149484788,0,901.8856325651248,10998.720937640272,5003.525752400844,0,1310.5703277633654,781.1813149256872,286.517199387533,2166.150405148032,21349.0540982328,0,67130.32279664223
19,5443.790852605053,0,6838.632681284898,0,852.0708906907953,9935.911290785938,3666.2354603184353,133.31085688636804,1106.4116894913557,1075.7120164692135,0,0,12620.565312201705,0,41672.64105073378
20,2527.6056152120464,0,6001.809182040187,914.2793818220471,2572.1366470284515,7357.227322319661,759.1646368347131,49.01716308386612,2286.2645796101547,982.3925180472692,169.15456117456245,0,17486.494016416233,0,41105.54562358918
21,3994.84694240305,0,2794.3766511987055,0,2301.4696482630557,4920.585098508538,542.8882390157133,0,1080.2102273833714,1484.0017264200778,114.03375384880052,712.2014607447227,8160.6564287722995,0,26105.270176558337
22,6876.5477726726695,0,4268.056758091514,0,1556.6949096901758,3159.0901996483153,755.1081553973358,0,493.7621743778779,532.5020320245436,0,0,4236.21243211093,0,21877.974434013373
23,22649.32262479084,288.6523610865365,1657.6769625816005,95.7665386104864,545.9828665530716,8616.199915631712,2770.529283767219,113.0811238205318,969.5309279011499,1100.483698164296,0,38.27296615677561,3553.6948453437703,0,42399.19411440802
24,31044.254777625592,122.16691654847594,4089.81414436818,0,590.9088833159899,6491.979530402028,2533.472832117341,194.715349560976,1429.6093160942326,649.1114544738366,30.46116199289947,98.7544091618645,10176.36302786025,0,57451.61180352167
25,2768.7448652454245,0,7245.004331002839,0,739.7164797131843,3858.7688266192354,824.4328681157696,246.35826325686745,2038.069526511466,233.16618558982407,18.8382028206575,405.0368741238612,10623.86424018544,0,29002.00066318458
26,3661.0414255401392,1156.8281579941956,7299.239951317643,0,654.4197855816325,7246.294679378563,1076.0702227611112,306.3471157031256,980.1857091931204,30.692045647789943,0,1582.540558575015,7786.586261039907,0,31780.245912732233
27,38500.64892188748,364.2079944814709,15373.3518596567,179.7332816899273,1539.7116306688235,13532.926245521963,3866.097217819135,876.5084571537195,4392.39024543704,2405.3862571692816,64.53321633986022,333.46092848153876,9062.126701813062,0,90491.08295812002
28,10336.86962709734,397.6750363241958,8175.986173699067,162.42107044199298,256.53260585943633,11317.148417282831,3827.0236332576046,350.4205914000894,1747.5390630913078,1367.3303792694278,0,148.4736358409905,7495.457083873736,0,45582.877317438
29,37482.03166272161,894.5309322861619,9466.565886908094,0,482.4781644402861,24734.366629264412,3320.833251531996,909.0531525718756,5129.677966619096,1955.760144388703,38.980618031313554,0,14532.531624608107,0,98946.8100333717
30,7525.348374276091,6.5651117069774765,3044.614095403018,0,786.7319058435277,7629.511504135721,2219.007230411765,303.13558593174696,2834.8639815811466,126.58188141732433,0,264.12010954410056,12750.803468280224,52.0063693117338,37543.289617843395
31,30657.91699325035,0,16991.83270100831,0,1007.3372501887416,17678.310801548163,7243.019827087705,1135.482406906249,5030.534777074782,7.304241303429345,0,1203.3768064089904,18029.754304684284,0,98984.87010946091
32,29917.875962117545,862.6025542226827,12388.22577062036,105.54364833639389,36.140310517627405,11732.526573561414,1855.4741305443445,445.3867093806911,8576.654577020858,355.39776690071716,14.837527741471208,340.45654927520764,13845.707105643976,0,80476.82918588324
33,310.7121098040335,48.46070237108491,556.2775161096229,0,101.58699678553744,2920.8144397801384,1003.8202781371136,19.78583949020642,142.8038523208801,53.09450738793632,0,89.80978707055945,881.198376417176,0,6128.364405674288
34,3042.3499077286947,477.63635156987186,1819.656989784669,0,711.0070400008068,6809.801585516643,2185.4106287588484,301.9804473413319,1299.8749281717032,108.0581603825939,107.72946635861643,0,5396.869761264698,0,22260.375266878473
35,19797.968032960045,2831.5613741329976,12621.599049674738,690.530074764747,670.0829356423659,11074.977285440886,4058.186200156677,552.7692359338826,3145.7261581169623,5047.862530474237,0,2179.009273653033,34245.1337144837,0,96915.4058654343
36,25107.157826276183,361.4753869414778,7992.772684992285,240.00769779709032,1600.457086422856,18212.82197279795,3402.646783863825,24.093241191043344,5301.301745399033,163.45308152261114,0,157.1544464210246,26083.671447539313,0,88647.0134011647
37,3217.1411639035664,1271.1388979747117,4962.093665034794,0,554.0095024973923,5201.298137886918,1971.3542375147144,59.09814694515203,847.1125168197593,707.717919159369,0,216.4441925081244,2653.067489901231,0,21660.47587014574
38,28.94048164239148,0,1669.7376345454602,0,165.14762112347154,2012.771842379819,2244.2550281640833,0,346.27067774598675,221.35064542886428,0,2311.5922509424336,2650.4209476577644,0,11650.487129630268
39,4568.138946162751,293.4208900108525,8120.511813936538,1029.306454061217,1322.2511045397944,3429.915653325455,2882.3043601165955,62.095661509400415,2198.94400602566,960.2728263347296,0,0,5324.039267063768,0,30191.200983086754
40,8196.923883342102,0,6097.174742215847,0,1278.7304741232042,4165.354996988836,3311.196030837504,0,730.8834198244552,907.552321726906,85.36390922452335,336.9016209978531,7339.144227273096,0,32449.22562655433
41,7649.020859351464,709.321262362766,11057.21484264612,0,4634.99455674012,10406.339726935195,5269.595093417482,0,1268.7262530795008,333.80004969947925,126.2829017667474,1080.6355307310705,12491.927751517866,0,55027.85882824786
42,1514.0369490147518,1557.7786421446212,3933.2750892068466,0,462.6727515446722,2792.56665743702,856.3365919759474,0,386.10557291620944,532.4215879051807,0,731.3252385389569,4638.412632618975,0,17404.93171330318
