residence_zone,income_up_to_2640,income_2640_5280,income_5280_10560,income_10560_15840,income_above_15840,total
42,1905.2775012460011,4333.714030542521,672.00846821147729,0,0,6911
43,684.01509405805155,5687.4754282214899,9982.8378484629775,4234.6419481483981,11505.029681109083,32094
44,2110.3305826308783,1938.2898317040328,8918.3552302844728,754.67579774657895,3228.3485576340458,16950.000000000007
45,1020.5645302917804,3975.6180602983809,15576.926848260304,967.59658683459816,12305.293974314931,33845.99999999999
46,7915.0193554576545,16803.532995014648,8405.2830847457481,1342.5852313422172,2646.5793334397231,37112.999999999985
47,1466.1385860144742,11868.466317761044,9888.0724552900592,2166.1714669992889,616.15117393513401,26005
48,2318.5206269612213,4402.6810287000681,7335.8054073734547,9345.7675848949602,1399.2253520703075,24802.000000000015
49,665.13294941558524,3096.8200675566736,4103.0210751695067,5314.4685655757139,1681.5573422825239,14861.000000000002
50,0,3312.7984891813317,5160.0545841501335,1089.1469266685324,0,9561.999999999998
51,0,1128.8270349602274,3346.6218108883736,4147.6398428908869,7261.9113112605219,15885.000000000013
52,169.23922054217132,921.06569394738995,3895.5673395128533,2293.8411723348804,2243.2865736627,9522.999999999996
53,0,1461.2627477847291,6105.6830761222809,3792.0368796809689,2697.0172964120165,14055.999999999996
54,34.940946424168899,1142.9425425224883,3490.1278194338765,2153.0645907807111,1623.9241008387537,8444.999999999998
55,580.7979920714738,2252.8550582035487,4071.2524287547672,3035.0285192983206,5539.0660016718921,15479.000000000002
56,252.53940826128598,2942.2699568532157,9116.575051777625,5417.1682979304578,2690.4472851774012,20418.999999999985
57,1454.4150990615678,4308.9631165377932,6752.4659294058083,3818.5544000323453,5884.601454962497,22219.00000000001
58,1393.4638392971158,5622.9430161854789,11329.338615222796,9402.496463938387,6578.7580653562254,34327
59,2066.5620755019931,8909.7544721678769,22477.889921260572,11668.235741136634,4998.557789932931,50121
60,173.64980145501448,3325.9261685637402,15647.198584776723,1528.2254452045249,0,20675
61,1865.20051090777,10475.837549684737,14196.961939407514,0,0,26538.000000000025
62,0,813.80317527628597,1434.2904546796847,1754.3496900055359,936.55668003849314,4939
63,13.1486880466472,104.24165671053123,603.15507388217418,781.15324126226358,548.30134009838559,2050.000000000002
64,107.320096435411,3206.6335205102782,12854.369752080254,6814.1148515930063,8357.5617793810379,31339.99999999999
65,245.57246376811591,0,481.17306606437012,2199.3110312011895,23385.943438966289,26311.999999999964
66,293.81233835621509,61.491386540390799,1299.642996063192,1721.5374902808521,7005.5157887593496,10382
67,121.63718485141,329.5068242813411,4860.9283692480331,1887.0289742309415,1711.898647388276,8911.000000000002
68,269.33187748702028,4299.7521894988831,11970.833851027854,5007.3299243295251,4052.7521576567074,25599.999999999993
69,0,995.25921996019042,3263.6869781480059,2624.6701540132599,3768.3836478785402,10651.999999999996
70,0,2137.4786481016231,5923.8141650549678,3533.4828305620499,1776.2243562813569,13370.999999999998
71,460.22760704181297,2232.6820820117568,6558.5689152066416,7232.9983774074963,14816.523018332289,31300.999999999996
72,250.2924936540731,349.55330690744677,2548.8374172042604,2345.7221890200749,7684.5945932141485,13179.000000000004
73,454.78651207797247,990.96763412403345,985.76501630298924,2059.4962555762609,5378.984581918744,9870
74,120.2391042254015,109.5614715157497,2075.7659810933992,3051.0521040847716,6167.3813390806854,11524.000000000007
75,0,2251.9400800801459,5185.5300540393755,2858.0327807267986,2943.4970851536837,13239.000000000004
76,0,362.62198319512822,3032.2095172772779,2805.7160841586074,3048.4524153689881,9249.000000000002
77,466.55199417771598,3769.5029507273734,5250.7464046534933,4718.3606916646213,8126.8379587768086,22332.000000000015
78,57.412129024989198,135.82069383724976,4635.3948306390694,4156.0654742940114,9010.306872204681,17995
79,363.57257329075497,819.00082753878382,2082.9802670490226,1431.7223396603297,4856.7239924611094,9554
80,49.793659793488203,1444.8998249177903,6465.9440922063859,5369.5405195611174,5744.8219035212251,19075.000000000007
81,0,105.1111111111111,910.20106516290753,1866.4142439431907,9030.2735797827991,11912.000000000007
82,374.28646491174891,641.60177151220159,3888.2036283054654,3645.3632671082569,3848.5448681623266,12398
83,118.2185987224908,2589.4247206217588,6777.630185146656,5968.1664442082529,7925.5600513008476,23379.000000000007
84,61.310884464357997,2306.2239388235821,6311.2986227067477,4286.3870087687592,3732.7795452365581,16698.000000000004
85,19.3,213.06651452412322,809.10588493632008,990.33861283643921,2259.188987703119,4291.000000000002
86,10.525206934393299,100.70753625663369,1438.2412887464636,1065.0630777780473,416.46289028446034,3030.9999999999977
87,66.585196331672194,2043.0975279719225,4533.5794063007288,3189.6661574298328,6916.0717119658566,16749.000000000015
88,87.999516458665397,3556.4812072551531,11515.648976160081,8789.6326665886572,15182.237633537465,39132.00000000002
89,154.48671151634201,3188.8021193833624,6180.4071159184859,1199.9933797108515,1601.3106734709579,12325
90,214.2862366011631,1568.3708616626741,4554.5324873606023,2004.0304851320393,4367.7799292435229,12709.000000000002
91,4718.9162494720422,4122.599810149477,4922.5742244903422,575.90971588813875,0,14340.000000000002
92,146.95555555555552,610.44869281045749,1086.1467320261436,500.37810457516355,1142.07091503268,3486
93,423.61483216782744,1045.6006557477319,4155.8575965435703,2295.6078374487456,2431.3190780921254,10352
94,270.57490701348138,75.071121172199994,2395.290101740216,733.2954117501846,2614.7684583239161,6088.999999999998
95,0,1029.0826752130915,2252.2360195870597,3367.3573682739716,9722.3239369258717,16370.999999999996
96,198.95734823562492,494.58627520810381,1264.555776957231,1042.7712486080748,3425.129350990966,6426
97,0,303.1861119795816,2265.9595536462366,2437.3921284241183,10483.46220595006,15489.999999999996
98,1069.1530971827424,1939.5214436323488,3081.4807646099543,2481.2229936951885,260.6217008797658,8832
99,905.76163095245897,2286.8417251424885,3711.564656812367,1615.6516379285285,227.18034916415411,8746.999999999996
100,424.80506329235197,4904.423931037205,9804.0328618984913,1380.9347312432374,7193.8034125287168,23708
101,2048.5813923882938,5206.6797081033292,5383.680020312534,4653.0088350291871,4273.0500441666536,21565
102,0,1586.2453364689372,1662.6526716834255,472.91029659168754,8333.1916952559495,12055
103,0,115.92664687891191,262.82697969494507,189.91788802448465,1934.3284854016583,2503
104,48.365412861193192,276.69126651939337,1516.659886198104,2032.8741390202886,2514.4092954010152,6388.9999999999945
105,107.26259798811699,1970.286216552825,2104.3616288646517,2373.6563650616981,6445.4331915327075,13001
106,3655.3165650743376,2926.9214770086824,421.76195791698012,0,0,7004
107,203.2419353332632,782.60445609074191,3678.9912808228501,4275.3553394510936,7420.806988302058,16361.000000000007
108,914.91607128799183,1403.0607061839764,1584.4516197045625,667.38325642535813,715.18834639810984,5284.999999999998
109,15231.529232978273,33549.807882758527,52222.237204783276,10937.872739236642,7706.5529402432421,119647.99999999996
110,6282.2724220714754,12260.219036528377,39744.508060493477,5032.7525747879317,1222.2479061186989,64541.99999999995
111,4760.3486900550051,11888.659736746336,17089.740709950645,6419.295256843171,11072.955606404819,51230.99999999997
112,12352.399791523369,18047.10756691861,9124.408970705601,337.08367085242145,0,39861.00000000001
113,2921.5554537367643,10904.803492646113,10157.525281168748,789.71704522112998,570.39872722723817,25343.999999999993
114,-,-,-,-,-,0
115,13528.336683408241,20981.385335599942,14152.901042281612,3297.3769387101815,0,51959.99999999998
116,25567.584269213148,95000.878856670111,41262.382881266996,3077.1539928498005,0,164908.00000000006
117,11882.383569192531,33733.188412996082,15229.942656908865,1136.4853609025299,0,61982.000000000015
118,3638.2111637789276,7907.4395289904933,3704.3493072305751,0,0,15249.999999999996
119,22292.764352338836,41126.408571225169,26483.827076435973,0,0,89902.99999999999
120,-,-,-,-,-,0
