destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
107,14952.841211806775,18115.550405860169,33068.391617666945,9218.491362768005,42286.88298043495
108,10558.709986135938,10646.722956557645,21205.432942693584,3091.848413234393,24297.281355927975
109,60233.131433011491,73410.696309356077,133643.82774236758,27888.50036419267,161532.32810656025
110,46701.634097157752,25586.613414421074,72288.24751157883,25116.401842127852,97404.64935370669
111,21454.493578927431,37915.387825514277,59369.88140444171,12956.503631888265,72326.38503632997
112,19892.790272659364,24325.15471746249,44217.944990121854,12256.636336045987,56474.58132616784
113,16041.676549774409,26516.260302538671,42557.93685231308,15879.884326749569,58437.82117906266
114,-,-,0,0,0
115,37356.381237187124,26238.116764474573,63594.4980016617,16386.89051838439,79981.38852004608
116,106744.94468441606,42757.038203141215,149501.98288755727,90704.83521325908,240206.81810081637
117,34193.166934397435,33447.261139962597,67640.42807436004,17559.93214818303,85200.36022254307
118,7365.3984881562319,5262.8256628265772,12628.224150982807,9274.593395736436,21902.817546719245
119,61012.604946501509,26095.502705842362,87108.10765234387,34439.59865059547,121547.70630293932
120,-,-,0,0,0
121,46159.695356229029,13012.523144855157,59172.218501084186,45300.8001545703,104473.01865565448
122,28649.501695614279,2290.3009030664434,30939.80259868072,26312.866655714213,57252.669254394925
123,30020.332058253101,18212.197142921537,48232.529201174635,25540.702867315147,73773.23206848979
124,29373.602994660494,27113.789574705224,56487.39256936572,32048.844730722343,88536.23730008806
125,31241.248615146171,25163.941863429958,56405.19047857613,18712.05336326915,75117.24384184528
126,22979.16823761144,21141.8395026174,44121.00774022885,16008.145005622811,60129.15274585166
127,42814.319598013593,41079.604039499587,83893.92363751319,27721.77611249453,111615.69975000773
128,10492.541424862786,12183.35573252874,22675.89715739153,1047.106592551102,23723.00374994263
129,18092.642106329607,15495.339102780294,33587.9812091099,2998.5435969485384,36586.52480605844
130,4628.8759113933338,4204.5745361528825,8833.450447546216,4127.08029045444,12960.530738000656
131,11202.638704750225,5676.6773665964465,16879.31607134667,811.3972230786111,17690.71329442528
132,4043.6713194438398,5850.6562029091074,9894.327522352947,1428.817372235083,11323.144894588027
133,25213.963401623401,36928.476786542458,62142.440188165856,12576.949732117411,74719.38992028327
134,24010.098275638313,30994.141277826406,55004.23955346472,9443.497609871383,64447.7371633361
135,30892.382303679417,34918.017147063263,65810.39945074268,4223.822685492327,70034.22213623501
136,26627.004004364822,28613.531231569865,55240.53523593469,14117.04137851371,69357.5766144484
137,21018.43637887351,25873.119830384196,46891.5562092577,23506.605874064408,70398.16208332211
138,14827.302349701251,10245.057578238675,25072.359927939928,9155.623866636426,34227.98379457636
139,16712.890500669193,22121.616132097508,38834.5066327667,11897.075961809172,50731.58259457587
140,25214.991054650669,8878.5483413784932,34093.53939602916,23667.58171114167,57761.12110717083
141,38550.82683217185,37913.431319398893,76464.25815157074,76529.19018981536,152993.4483413861
142,40483.107371207894,5299.2699118820428,45782.37728308994,24977.81094344513,70760.18822653507
143,-,-,0,0,0
144,50847.214226385942,76115.969781738444,126963.1840081244,50607.895068421305,177571.0790765457
145,5341.2290675576687,4610.338597741872,9951.56766529954,3404.5495166935743,13356.117181993117
146,-,-,0,0,0
147,17599.6336275051,15667.789439210426,33267.42306671553,11955.443192550392,45222.86625926592
148,15161.656165334694,12288.047097316863,27449.703262651557,9123.132040331056,36572.83530298261
149,0,280.00685782011203,280.00685782011203,0,280.00685782011203
150,35789.964968765635,7524.6342357968479,43314.59920456248,17133.108198178532,60447.70740274101
151,43496.871759141322,28293.871349918983,71790.7431090603,27585.418948177252,99376.16205723755
