residence_zone,male,female,no_response,total
207,33027.485088728004,40417.514911272025,0,73445.00000000003
208,17131.977258734772,28020.022741265217,0,45151.999999999985
209,17635.008514883542,23706.991485116483,0,41342.00000000003
210,14858.79644994455,19252.203550055441,0,34110.99999999999
211,25948.995499063607,34417.004500936404,0,60366.000000000015
212,22537.460865717392,20859.539134282611,0,43397
213,21857.293858899586,26545.706141100443,0,48403.00000000003
214,14049.306521849101,12117.693478150904,0,26167.000000000007
215,19149.673097134917,21006.326902865087,0,40156
216,17406.867802304187,22401.132197695806,0,39807.99999999999
217,14240.341024947407,17799.658975052596,0,32040.000000000004
218,30132.15398720454,35777.846012795468,0,65910
219,24611.604069451452,24427.395930548566,0,49039.000000000015
220,17660.415375239907,17706.584624760075,0,35366.999999999985
221,29591.562173276863,26058.437826723115,0,55649.99999999998
222,21260.409107149269,26537.590892850716,0,47797.999999999985
223,14295.652322754293,14438.347677245709,0,28734
224,-,-,-,0
225,22873.404470589252,24148.595529410748,0,47022
226,39558.45616059313,44421.754160204669,426.78967920224397,84407.00000000006
227,30961.34211319395,33109.65788680601,0,64070.99999999995
228,25720.491630453467,22240.508369546526,0,47960.99999999999
229,64043.713125723501,70136.286874276513,0,134180
230,31093.827901070221,33728.172098929776,0,64822
231,24453.698469670238,24692.301530329747,0,49145.999999999985
232,23165.392114969516,23663.607885030517,0,46829.00000000003
233,27067.405830532185,30377.594169467833,0,57445.000000000015
234,38775.372336237415,37056.627663762556,0,75831.99999999997
235,43078.081086242761,32915.918913757254,0,75994.00000000001
236,5231.863651329777,6840.1363486702203,0,12071.999999999996
237,5312.9950000529434,5771.0049999470621,0,11084.000000000004
238,9866.1987304003578,10156.801269599639,0,20022.999999999996
239,8006.2506773314335,6757.7493226685665,0,14764
240,8305.7876384665815,12150.21236153342,0,20456
241,4740.8819724463401,6123.1180275536535,0,10863.999999999993
242,14986.076259078702,14910.923740921307,0,29897.000000000007
243,22642.114355410107,23151.885644589911,0,45794.000000000015
244,27714.079137906476,39465.920862093517,0,67180
245,10672.371745086884,14408.628254913108,0,25080.999999999993
246,13629.13252342972,16566.867476570271,0,30195.999999999993
247,47835.007586707419,51845.992413292632,0,99681.00000000006
248,-,-,-,0
249,14177.183452617224,24942.81654738279,0,39120.000000000015
250,9013.2717502324667,10874.728249767526,0,19887.999999999993
251,9621.6352474333235,15409.364752566677,0,25031
252,10724.389176738336,10961.610823261648,0,21685.999999999985
253,2870.2258964739449,2735.7741035260583,0,5606.000000000004
254,15665.515377049698,19492.48462295032,0,35158.000000000015
255,25476.676371832295,42075.323628167731,0,67552.00000000003
256,11951.050570496687,15931.949429503306,0,27882.999999999993
257,17686.279654367798,26706.720345632206,0,44393
258,29010.349287325167,40181.650712674855,0,69192.00000000003
259,16595.699471100033,18105.300528899963,0,34701
260,21043.243674676694,22232.756325323327,0,43276.00000000002
261,26785.331740903315,26693.66825909671,0,53479.00000000003
262,36310.815638363885,42865.184361636151,0,79176.00000000003
263,29961.01506146363,32748.984938536396,0,62710.00000000003
264,31593.186115701752,32712.813884298255,0,64306.00000000001
265,19706.620234756279,23131.379765243739,0,42838.000000000015
266,8863.0761598888475,11150.923840111149,0,20013.999999999996
267,12750.666594211938,19641.333405788078,0,32392.000000000015
268,6146.3953330480026,6756.6046669519801,0,12902.999999999982
269,14340.088815514089,15011.911184485913,0,29352
270,4337.2108772259626,5148.7891227740392,0,9486.000000000002
271,-,-,-,0
272,8524.9097110325874,12558.090288967391,0,21082.999999999975
273,25798.258423463907,36066.741576536064,0,61864.99999999997
274,10494.223633743266,20738.198871032902,577.57749522383801,31810.000000000007
275,16756.681362498548,21695.318637501445,0,38451.99999999999
276,38048.705857598405,50132.29414240161,0,88181.00000000001
277,25047.149942002914,32581.850057997115,0,57629.00000000003
278,56510.144073090254,66436.855926909702,0,122946.99999999996
279,37252.45009720805,37055.354286193557,525.19561659843703,74833.00000000004
280,8868.0137675653314,16694.986232434676,0,25563.000000000007
281,18979.144692301583,20665.855307698403,0,39644.999999999985
282,15970.580524357567,20264.419475642426,0,36234.99999999999
283,7934.5960790250228,9427.4039209749826,0,17362.000000000007
284,28846.716151889359,23606.283848110666,0,52453.00000000003
285,59000.599620429755,56197.400379570223,0,115197.99999999996
286,5698.8040912977485,5812.1959087022515,0,11511
287,10972.249836106539,16512.750163893463,0,27485
288,10373.381748343842,7887.6182516561712,0,18261.000000000015
289,22272.269042359214,22573.730957640761,0,44845.99999999997
290,26372.150368176117,26507.849631823887,0,52880
291,34593.358909418974,36412.641090581019,0,71006
292,28349.34989319395,36729.650106806032,0,65078.999999999985
293,44333.937812254371,32569.062187745603,0,76902.99999999997
294,51008.540883812071,50762.459116187973,0,101771.00000000004
295,59039.239865659256,70301.76013434089,0,129341.00000000016
296,9434.1766611293315,11906.823338870667,0,21341
297,2194.6356731140945,4126.3643268859005,0,6320.9999999999945
298,77427.081966351063,73264.990291369075,500.92774227960598,151192.99999999974
299,5869.5527827841825,5857.4472172158266,0,11727.000000000007
300,-,-,-,0
301,17489.895923039036,24196.104076960983,0,41686.000000000015
302,6204.3972985348028,6345.6027014652054,0,12550.000000000007
303,8724.255285773208,10282.744714226794,0,19007
304,6837.4340010021269,7389.5659989978776,0,14227.000000000004
305,38018.315841319534,35386.684158680451,0,73404.99999999999
306,55093.687372111039,58555.312627888961,0,113649
307,42773.684237912355,35994.315762087615,0,78767.99999999997
308,56653.027476556992,57491.972523443052,0,114145.00000000004
309,17662.635908227421,21869.364091772557,0,39531.99999999998
310,26517.069274609894,34346.930725390135,0,60864.00000000003
311,11943.780124246125,14037.219875753886,0,25981.00000000001
312,33394.19800193017,45253.801998069866,0,78648.00000000003
313,18523.605616127123,21403.394383872885,0,39927.00000000001
314,10774.050917462542,10257.949082537449,0,21031.999999999993
315,50117.538373020332,46242.461626979624,0,96359.99999999996
316,54419.908257838208,65755.09174216169,0,120174.9999999999
317,5661.1132263547061,7153.6700760708018,54.2166975744884,12868.999999999996
318,1242.8595665912094,1402.1404334087899,0,2644.999999999999
319,12135.746991827975,8930.2530081720324,0,21066.000000000007
320,4076.7939461854035,4119.2060538145943,0,8195.999999999998
321,34776.712654197887,39581.28734580215,0,74358.00000000003
322,19934.370239248638,19869.054598811708,159.57516193965299,39963
323,28555.721415438795,29983.27858456114,0,58538.999999999935
324,33907.092691876016,35822.907308124006,0,69730.00000000003
325,38742.265498179404,33311.734501820574,0,72053.99999999997
326,19348.88732076309,19860.112679236921,0,39209.000000000015
327,27546.997964565147,33489.00203543486,0,61036.00000000001
328,13101.773458013615,12860.226541986378,0,25961.999999999993
329,12663.929243965982,10167.070756034003,0,22830.999999999985
330,14843.838776994646,17213.161223005365,0,32057.00000000001
331,23718.418098824743,22254.581901175257,0,45973
332,25097.666280427522,22704.333719572511,0,47802.00000000003
333,18473.536862896199,26474.463137103816,0,44948.000000000015
334,12646.835067873648,15266.16493212635,0,27913
335,22072.463553120502,20328.536446879501,0,42401
336,17899.228528317904,23609.771471682092,0,41509
337,27781.120295266785,23210.879704733183,0,50991.99999999997
338,11802.405901096105,10228.594098903901,0,22031.000000000007
339,18144.472371747826,16582.527628252159,0,34726.999999999985
340,-,-,-,0
341,3439.8513995787039,3966.1486004212961,0,7406
342,4681.4388225244875,4721.5611774755143,0,9403.000000000002
343,17233.563650060863,18957.436349939147,0,36191.000000000015
344,2486.0055776583126,2809.9944223416865,0,5295.999999999999
345,23667.117109029055,26459.882890970915,0,50126.99999999997
346,20884.377998514727,20795.622001485277,0,41680
347,-,-,-,0
348,33688.014781067744,52302.985218932205,0,85990.99999999994
349,4663.346779007943,5027.6532209920515,0,9690.999999999995
350,-,-,-,0
351,35937.341240016911,36858.658759983089,0,72796
352,34500.086157250284,40722.913842749724,0,75223
353,-,-,-,0
354,-,-,-,0
355,-,-,-,0
356,27358.727399129435,27826.27260087055,0,55184.999999999985
357,54209.105425490139,53029.894574509788,0,107238.99999999993
358,3577.7207792207778,2968.2792207792204,0,6545.999999999998
359,18606.428675382111,19861.571324617904,0,38468.000000000015
360,11471.218836051958,8176.7811639480478,0,19648.000000000007
361,10342.788231211134,11872.211768788864,0,22215
362,7890.3550942681313,7906.644905731865,0,15796.999999999996
363,9154.9772104801614,8807.0227895198423,0,17962.000000000004
364,20892.045561509211,18310.954438490775,0,39202.999999999985
365,4121.2187026597849,4584.7812973402179,0,8706.000000000004
366,4723.6781733382913,4531.3218266617123,0,9255.000000000004
367,19579.565583636366,22658.434416363656,0,42238.00000000002
368,15323.337189544894,19659.662810455095,0,34982.999999999985
369,19158.990805376026,23648.009194623944,0,42806.99999999997
370,22884.737239038077,31605.843454010905,383.41930695103002,54874.00000000001
371,46566.682975299424,51095.317024700547,0,97661.99999999997
372,33028.478992856857,34866.521007143114,0,67894.99999999997
373,26550.564700202158,27823.435299797871,0,54374.00000000003
374,27072.982321900236,34548.017678099772,0,61621.00000000001
375,-,-,-,0
376,32982.279463134655,39508.720536865352,0,72491
377,20229.343706571242,27437.656293428772,0,47667.000000000015
378,92658.703718984121,105133.29628101562,0,197791.99999999977
379,53758.350727144891,51702.649272855087,0,105460.99999999996
380,27433.465710988297,29513.534289011703,0,56947
381,52011.023171027031,52244.976828973027,0,104256.00000000006
382,-,-,-,0
383,50068.59011416883,48586.409885831141,0,98654.99999999997
384,41667.063080303218,40029.936919696804,0,81697.00000000003
385,15040.344372224077,14550.655627775928,0,29591.000000000007
386,-,-,-,0
387,2165.5890436187015,2035.410956381297,0,4200.999999999998
388,35019.793782235465,42169.206217764535,0,77189
389,3870.8981819055739,3512.101818094432,0,7383.000000000005
390,20827.452534995096,22314.547465004951,0,43142.00000000005
391,5513.1924242424247,5426.8075757575771,0,10940.000000000002
392,-,-,-,0
393,-,-,-,0
394,38164.129530913866,45772.87046908617,0,83937.00000000003
395,-,-,-,0
396,50748.680805824923,48636.319194175143,0,99385.00000000006
397,9999.6299447602159,11511.370055239779,0,21510.999999999993
398,43783.49465065547,40184.505349344545,0,83968.00000000001
399,50757.027457078635,51639.972542921365,0,102397
400,30417.322160183074,36181.677839816868,0,66598.99999999994
401,56213.248182710806,69449.751817289231,0,125663.00000000004
402,40932.784268744705,42186.215731255375,0,83119.00000000007
403,51901.384085994257,65033.615914005903,0,116935.00000000016
404,61973.47173647309,92052.528263527012,0,154026.00000000012
405,14152.641028809025,11995.358971190981,0,26148.000000000007
406,7921.5563888839124,9673.4436111161085,0,17595.000000000022
407,38509.787451771263,43160.212548228716,0,81669.99999999997
408,19381.72980035983,20520.270199640159,0,39901.999999999985
409,15229.790967573039,20885.209032426937,0,36114.99999999998
410,58807.572772747488,64087.427227252534,0,122895.00000000004
411,26364.983769872095,32465.016230127902,0,58830
412,10104.539919462362,12248.460080537643,0,22353.000000000007
413,6568.6080353286598,7308.3919646713521,0,13877.000000000013
414,9273.5167264752763,10043.483273524718,0,19316.999999999993
415,18688.875934537435,21633.124065462569,0,40322
416,16158.526637916037,10728.473362083982,0,26887.000000000015
417,-,-,-,0
418,14101.96814023532,16123.031859764655,0,30224.999999999975
419,-,-,-,0
420,7337.4186002853285,7989.5813997146688,0,15326.999999999996
421,-,-,-,0
422,14120.06642639995,17885.933573600065,0,32006.000000000015
423,-,-,-,0
424,21493.471790003812,28823.528209996159,0,50316.99999999997
425,21675.401591654456,35140.598408345577,0,56816.00000000003
426,19963.500556045932,18418.499443954108,0,38382.00000000005
