residence_zone,formal_employee,informal_employee,public_employee,independent_professional,self_employed_registered,self_employed_unregistered,employer,family_business_owner,family_worker,total
133,11500.003791367184,0,0,1120.306652853351,4988.023946460897,3326.627655620756,1755.7325928292312,442.061496778833,0,23132.756135910255
134,11159.31904002908,0,0,210.791900512183,458.007401480516,2899.4501544378763,0,214.811709133349,0,14942.380205593008
135,8324.117468950752,928.985829168811,1170.220383854578,1684.785616277828,3420.816796183408,5198.5759900308085,0,0,0,20727.502084466178
136,6577.401846122727,1692.043703566779,1132.621019073425,184.267144574751,4122.031024347236,3599.733315131,344.949771466151,0,0,17653.047824282068
137,11590.335197243816,651.383293510963,1340.547701245064,803.119301063974,2180.699463413366,7018.340941931088,301.091722539568,272.33701268254,0,24157.85463363037
138,3509.5170596853727,259.0700594912079,257.361562061957,0,1020.4748955719568,364.5885966760971,0,0,0,5411.012173486592
139,5903.118304863344,1423.8049881831298,385.133379081553,621.138358520579,1400.091637247217,3264.19447700578,233.27931793313687,522.391773747228,0,13753.152236581967
140,11441.027446205151,1005.593531003948,778.435838376544,578.7731775415309,2066.495217737307,3535.2732650530443,456.386802475488,0,0,19861.985278393026
141,15728.659964039174,3932.2947209774975,1016.026700213156,0,4378.920571742463,10784.537195140969,556.051301354844,3977.292933584076,1485.427380347061,41859.21076739924
142,21916.128160449334,3512.504724445212,455.451706571871,0,209.9563359462,5266.800459293406,0,1934.155242948127,0,33294.99662965416
143,,,,,,,,,,
144,28656.070721932923,3113.556140894788,1097.07896240005,1889.960826470763,5883.980023314945,13631.564454012252,1113.337401169288,0,0,55385.54853019501
145,1748.7475605967936,118.5956801757666,160.8371419802306,194.6161876435626,606.9496284033149,920.5913546260042,177.4571223545459,39.6915930473481,0,3967.486268827568
146,,,,,,,,,,
147,7544.8311010549005,226.3252178135317,1118.4058144059877,1136.018273933631,434.3315890648362,2335.1067788547825,359.89797075387,557.6630252896891,0,13712.579771171228
148,5223.204986376218,57.8966969513902,628.630949380052,755.7130530370428,2952.0472970909973,537.5670339705568,419.9912241567061,497.534222515377,0,11072.585463478335
149,,,,,,,,,,
150,15100.925535213895,3607.976385716313,317.805748105144,0,511.07869053378494,8365.119178169143,0,0,0,27902.905537738305
151,18401.867112817363,1367.1761450435529,656.12157850179,0,6456.679771265053,14739.169217285436,1640.3341725215082,0,0,43261.3479974347
152,9582.285988176875,911.105628135585,2184.33251749594,732.277544809906,3691.3565577126105,2534.4792138769394,180.099143528245,0,0,19815.936593736107
153,4248.592630272078,0,150.4068139873284,762.562264424706,2814.0322018965303,1084.0049695559185,0,0,0,9059.59888013656
154,12596.62379531768,348.2015843837382,2159.1544621282633,1269.3421665174192,1093.5529245169491,7071.260219185218,569.894325607735,197.66590180366,0,25305.695379460667
155,6906.508045799657,540.0170812156254,153.022218046493,0,1273.7368532398382,3632.536708831874,0,0,0,12505.820907133486
156,7181.686106116228,0,1023.34365770588,169.177786966467,4723.023621656472,3398.6473746141355,0,0,0,16495.878547059176
157,4734.827853326736,404.67778097549586,134.664466073925,216.506457220144,738.9659284671435,1881.1869190733944,0,81.841991146219,0,8192.671396283058
158,13419.521667291325,222.628849297913,0,301.81080031041,4138.598798402798,5665.142916911294,224.162965400527,2045.395198311297,0,26017.261195925563
159,17630.16654412388,1200.795331244711,0,197.991563013519,3909.9604768731306,5690.861730832615,0,0,0,28629.775646087863
160,13883.240091173133,818.211120521341,1324.324182245936,732.834004053021,2757.01045771564,6603.142668288807,734.438545639431,0,0,26853.201069637304
161,11269.666590223433,4527.413496006219,235.641575153954,272.902047491331,457.733156764255,10157.619683472089,0,0,0,26920.97654911128
162,2905.7876293507043,276.90471394408075,162.4534151322847,870.8628421653261,2311.4701810580455,3291.5597502263095,0,430.54526107220295,0,10249.583792948952
163,10164.567306931987,1120.7059947949067,416.065238990748,754.397216616415,6044.995430932826,3915.650921892672,114.435020576273,0,0,22530.81713073583
164,1805.4863379356552,0,258.9316405855614,0,575.7409963214129,1382.2069022059245,226.156288472208,62.1345194325417,164.97080473909762,4475.6274896924
165,939.6164908822591,215.2995112305007,47.4512711789731,0,45.6879411840234,375.00612125580056,0,23.027015228165695,39.6489935629114,1685.7373445226335
166,6685.117474012304,0,1179.1311610325456,1224.9402324386167,4238.152654143941,801.4268932473431,488.0063398378565,288.9997181557443,873.5896201734178,15779.364093041771
167,3214.6438791472156,131.21772934793,817.055736423622,815.9713768347611,1931.896556199585,1189.8586988763873,577.7790016677184,216.7739894882702,0,8895.196967985486
168,5111.322408849048,175.209825783423,799.7387557868483,1136.00867208942,5972.46839943162,888.720453720715,579.518107215041,0,0,14662.986622876124
169,5740.199508055216,492.08784911366206,0,1226.157361578523,2324.645332989182,2639.6465327298133,0,585.9852470849652,0,13008.721831551364
170,7612.167671808003,692.9381682015301,1830.245340564813,1752.49048012267,2555.490147129883,3477.042136249178,0,179.274721365396,700.805578800275,18800.454244241748
171,9503.964565279053,0,621.457433065142,525.561457229805,888.162352932552,4927.183756272702,0,434.987970473328,0,16901.317535252583
172,5411.448145065362,458.898567453203,726.762660834054,0,3213.454799553395,2850.719472478713,0,130.945062877467,0,12792.22870826219
173,6369.609781435087,170.747052568832,1136.1207090309788,309.718133306153,2433.8272715204607,1392.0955116137009,0,1123.669541397454,131.14242383981,13066.93042471248
174,15305.924575922822,448.97773854562894,502.387226718873,448.97773854562894,1428.3473137919002,1374.9755974604643,0,941.4068928436081,617.09883576793,21068.095919596846
175,9516.749931158529,886.7440420015689,222.17389017114,0,1108.3210026076813,4602.455956130613,102.544484872842,712.644608364416,0,17151.63391530679
176,13547.106163387398,1194.5068547660353,0,419.48327608979,1731.864551910988,4320.257603453765,0,0,0,21213.218449607983
177,3460.4805993227124,98.8375554314924,226.306713181182,0,907.169347838836,2215.524616228399,0,0,0,6908.318832002623
178,,,,,,,,,,
179,,,,,,,,,,
180,16437.406333803097,4662.536385885412,338.112666195673,1652.4780511497008,2184.743743156925,5257.729777118573,530.372809718702,0,0,31063.37976702809
181,12705.690254222414,0,726.274034411815,569.974673791161,3585.600480548822,5498.517145182694,0,702.43875243533,0,23788.49534059225
182,12073.817956351746,1355.8556784480138,562.5699496291732,549.741873483974,2119.6170817500683,4673.847315045453,517.806714052825,0,0,21853.25656876125
183,11466.188635109467,373.724374547395,1027.21683533966,0,5689.560295071713,3353.4843890645816,0,0,0,21910.174529132822
184,6456.312670482685,375.55285742303704,360.52251899959504,93.8145445960476,2379.915344254581,1345.3791347687195,0,151.7146256247487,0,11163.211696149414
185,7983.300356917949,1253.1726674421789,257.910366799555,0,923.141733927141,2400.686153148716,0,184.235818001369,0,13002.447096236912
186,3098.9417581930034,290.3211485639465,266.4288669689988,0,651.8799856734979,1259.096130850504,71.3527327828781,0,0,5638.020623032831
187,11072.598197430463,2355.079882163308,1118.606703876933,323.892607926412,2770.1751830108424,4374.867596443973,0,172.362194046734,298.793596271222,22486.375961169895
188,7639.868517851161,1416.6609493646126,1008.81132764661,363.8540572816712,1528.923236323133,3184.999090965918,0,0,0,15143.117179433102
189,11631.667179622937,1075.0882379708469,842.3182421218581,0,2047.4276133655453,2475.286520766658,0,0,0,18071.787793847845
