residence_zone,no_cars,one_car,two_cars,three_or_more_cars,total_families
167,1696.4230769230776,3392.846153846157,1090.5576923076933,121.173076923077,6301.000000000005
168,3262.653061224494,6090.28571428572,1087.551020408165,217.510204081633,10658.000000000013
169,4865.379310344817,5878.999999999989,1013.62068965517,0,11757.999999999976
170,7256.000000000006,6953.666666666673,1209.3333333333337,0,15419.000000000013
171,6582.840000000004,5685.180000000003,1795.3200000000002,897.66,14961.000000000007
172,4967.962264150935,4394.735849056597,764.301886792452,0,10126.999999999982
173,4362.620689655184,5453.275862068977,727.103448275864,0,10543.000000000024
174,8018.3529411764675,8018.3529411764675,1002.294117647058,0,17038.999999999993
175,5365.200000000003,7243.020000000005,804.78,0,13413.000000000007
176,12178.584905660353,4608.113207547163,658.301886792452,0,17444.999999999967
177,3380.6769230769264,1770.8307692307703,80.49230769230772,0,5232.000000000005
178,,,,0,0
179,,,,0,0
180,15792.000000000007,8572.799999999997,451.2,0,24816.000000000007
181,8939.473684210532,7151.578947368426,893.9473684210532,0,16985.00000000001
182,6343.720000000001,8013.120000000002,2003.28,333.88,16694.000000000004
183,6286.538461538458,9429.80769230769,628.653846153846,0,16344.999999999996
184,3715.62745098039,3715.62745098039,484.64705882352905,323.098039215686,8238.999999999995
185,5414.705882352929,3248.823529411757,721.960784313724,0,9385.49019607841
186,1392.3199999999997,1758.7199999999996,439.6799999999999,73.28,3663.999999999999
187,10697.176241480049,6204.3622200584305,0,0,16901.538461538476
188,4970.098039215675,4572.490196078422,397.607843137254,198.803921568627,10138.999999999978
189,10446.923076923067,6964.615384615377,696.461538461538,0,18107.999999999985
190,4868.75,8200,768.75,0,13837.5
191,,,,0,0
192,7113.600000000003,6019.200000000002,820.8,0,13953.600000000004
193,5480.15686274509,3082.588235294113,171.254901960784,0,8733.999999999985
194,6060.551020408166,2387.48979591837,550.95918367347,0,8999.000000000005
195,7791.333333333343,6179.333333333341,537.333333333334,0,14508.000000000018
196,6166.078431372546,5454.6078431372525,474.313725490196,0,12094.999999999996
197,3639.2400000000007,4300.920000000001,330.84,0,8271.000000000002
198,4646.999999999997,4130.666666666663,688.444444444444,0,9466.111111111104
199,21128,11676,1112,0,33916
200,8157.857142857171,3263.142857142866,0,0,11421.000000000036
201,12159.500000000007,10358.0925925926,1801.407407407408,0,24319.000000000015
202,13378.814814814825,10511.925925925932,2866.8888888888896,0,26757.62962962965
203,12166.855263157877,5725.578947368418,238.565789473684,0,18130.999999999975
204,21502.02857142856,17541.12857142857,565.842857142857,0,39608.99999999999
205,20297.49382716051,12841.271604938276,414.234567901235,0,33553.00000000002
206,7517.340000000002,6403.660000000001,278.42,0,14199.420000000002
207,15488,9196,484,0,25168
208,7794.090909090897,8729.381818181804,623.527272727272,0,17146.999999999975
209,4716.377358490559,7664.113207547159,2358.18867924528,884.32075471698,15622.999999999978
210,3288.7499999999973,7589.423076923065,2276.826923076921,0,13154.999999999984
211,9903.01960784313,11253.431372549012,1800.5490196078429,0,22956.999999999985
212,8882.648148148151,5157.666666666667,1432.685185185185,0,15473.000000000002
213,7177.7037037037,9135.259259259254,978.7777777777769,326.259259259259,17617.99999999999
214,5796.740740740733,3260.666666666663,724.592592592592,0,9781.999999999987
215,5140.799999999999,8467.199999999995,1512,0,15119.999999999996
216,5584.4800000000005,8229.76,881.76,0,14696.000000000002
217,7204.3888888888905,4584.611111111113,0,0,11789.000000000004
218,16809.795918367345,8150.204081632644,0,0,24959.99999999999
219,4830.280000000001,11040.640000000009,1035.06,345.02,17251.00000000001
220,6122.197558268586,4407.982241953379,1714.2153163152034,244.8879023307433,12489.283018867913
221,7040.470588235296,12125.254901960794,782.274509803922,0,19948.000000000015
222,5055,8425,3370,337,17187
223,5741.12,4305.84,410.08,0,10457.04
224,,,,0,0
225,11128.45714285714,4636.85714285714,463.685714285714,0,16228.999999999996
226,17679.422222222227,11559.622222222226,1019.9666666666668,339.988888888889,30599.000000000007
227,11928.947368421044,9940.789473684203,795.263157894736,0,22664.999999999985
228,11033.880000000005,4681.040000000001,1003.08,0,16718.000000000004
229,33299.916666666584,13939.499999999976,387.208333333333,387.208333333333,48013.83333333323
230,17732.61016949154,5011.389830508478,0,0,22744.000000000015
231,10025.671641791045,6516.686567164177,250.641791044776,250.641791044776,17043.64179104477
232,8221.111111111111,7340.277777777777,587.222222222222,0,16148.611111111111
233,12496.593220338962,7092.661016949141,675.491525423728,0,20264.74576271183
234,16308.552238805982,9102.447761194035,379.268656716418,0,25790.26865671643
235,18836.300000000007,8072.700000000002,0,0,26909.000000000007
236,2327.7333333333336,2161.4666666666667,415.66666666666674,83.13333333333335,4988.000000000001
237,2036.7835051546388,2545.9793814432983,254.59793814432967,0,4837.360824742266
238,4009.134615384627,3367.6730769230867,962.1923076923101,0,8339.000000000024
239,2419.941176470587,2996.117647058821,230.470588235294,230.470588235294,5876.999999999995
240,2533.965517241388,4645.603448275877,703.8793103448301,281.551724137932,8165.0000000000255
241,1479.8076923076933,2466.3461538461556,328.846153846154,0,4275.000000000003
242,5844.705882352936,4762.3529411764675,649.411764705882,0,11256.470588235286
243,5066.078431372546,10494.019607843133,2533.0392156862727,361.862745098039,18454.99999999999
244,13529.615384615408,9797.307692307704,933.076923076924,0,24260.000000000036
245,3034.239999999999,5499.56,948.2,0,9482
246,5890.8888888888905,4207.777777777781,841.555555555556,420.777777777778,11361.000000000004
247,16436.200000000004,19424.6,1494.2,0,37355
248,,,,0,0
249,7112.326530612245,6223.285714285714,889.0408163265306,296.3469387755102,14521
250,2102.2222222222204,3924.1481481481414,1261.333333333332,280.296296296296,7567.99999999999
251,1795.0588235294126,7180.235294117656,1196.705882352942,0,10172.000000000013
252,2739.39285714285,4181.178571428561,865.0714285714259,288.357142857142,8073.999999999979
253,1501.5730337078646,531.325842696629,23.1011235955056,0,2055.999999999999
254,3749.622641509431,8034.905660377352,2142.6415094339604,267.830188679245,14194.999999999987
255,6476.160000000001,18349.120000000006,2158.72,0,26984.000000000007
256,5517.886792452842,4881.207547169822,1061.1320754717,0,11460.226415094365
257,8044.4444444444525,8688.000000000007,965.3333333333339,0,17697.777777777796
258,11653.584905660377,11168.018867924528,2913.396226415094,0,25734.999999999996
259,5577.960000000003,5820.480000000003,970.08,0,12368.520000000006
260,9818.239999999996,5215.94,0,306.82,15340.999999999996
261,11526.599999999991,6287.23636363636,1047.8727272727267,349.290909090909,19210.99999999999
262,18637.23076923077,9866.769230769223,0,0,28503.999999999993
263,15012.254901960783,6004.901960784314,857.8431372549019,0,21875
264,11197.549019607852,11197.549019607852,895.803921568628,447.901960784314,23738.803921568648
265,7694.499999999984,5496.071428571419,1923.6249999999973,274.803571428571,15388.999999999973
266,3230.37254901961,3651.725490196081,421.35294117647095,0,7303.450980392162
267,6414.47169811321,4644.962264150943,663.566037735849,0,11723.000000000002
268,1259.986577181208,2724.295302013419,919.4496644295307,204.3221476510068,5108.053691275165
269,1980.90909090909,7923.63636363636,2377.090909090908,792.363636363636,13073.999999999996
270,1759.5238095238087,2181.809523809523,492.6666666666668,0,4433.999999999999
271,,,,0,0
