origin_zone,public_transport_minutes,individual_transport_minutes,walking,bicycle
237,42.776209014373144,31.461106133831226,0,12.78029160247134
238,50.460646114501586,25.109250131943543,0,8.4459350362405132
239,49.278348386108391,24.371171255519169,0,15.069267624556835
240,46.930030692636855,17.652571212920957,0,16.948472931565263
241,67.958972777239183,21.821865476679786,20,9.0046520000600552
242,40.536106923183858,10.38877947025393,45,12.62533307064021
243,56.812519054950229,22.764924930990247,20,14.132656342109867
244,46.238815888177044,25.700719886919927,16.806321463657341,13.787358531507746
245,41.911296645370903,30.63143034661169,0,9.7407590119039433
246,55.07095293147681,30.192439884565431,0,9.7311124102848705
247,45.210615776066788,28.327421168049167,0,7.0450965907324541
248,-,-,-,-
249,37.432037701724624,24.288368553289633,0,7.2296967242847838
250,59.186105273241814,22.078148387586975,0,10.205531240067392
251,27.848650771143731,29.382775168613122,0,8.9342448035850524
252,45.055343994413541,26.596263484820263,0,14.435049040850354
253,48.03318167344429,26.027361706932755,12.921547719466767,18.891797821699733
254,57.996085061472854,24.498070608751913,0,11.655823694447793
255,54.175217337249478,31.334262873952547,0,11.460589468416481
256,48.192975083702144,23.605831317655433,0,13.905660784863491
257,50.778444065560258,38.250458912678567,0,9.0588540751683606
258,62.355707311834401,31.655188535394139,15.5,16.957817312347185
259,68.783397549013969,29.424392707038511,0,17.017713103208678
260,64.350999256205327,28.233648017476082,0,10.587822578219036
261,59.708668802426303,39.710130367075593,0,12.138054545470061
262,50.113517415316714,21.863159900285783,0,11.608667659963078
263,66.663059402608496,31.615876608123909,0,15.641555478677905
264,68.080127727933473,15.522761218813343,30,15.15545448145323
265,65.908263015377898,17.943329084382196,20,13.408081446574833
266,58.563624125010449,24.258249504488649,0,10.561491739820626
267,80.6927062285164,20.508635377641429,50.569297825272017,9.3146048479412968
268,43.239154955874056,26.214108589638869,35,14.451358819575228
269,39.294682431306995,22.977396031993919,20,12.753262681606763
270,43.510345658728426,21.349514214433849,0,17.384315664709113
271,-,-,-,-
272,48.553605627452754,26.8713862925648,25.498149277285926,15.873260443311125
273,41.871349294251246,29.62151249258369,0,10.049854494490937
274,41.999991357935748,21.44821259318384,0,12.473463663046127
275,43.145024302975116,25.712324021743743,0,13.731073189834019
276,61.295204358970956,22.561085408222013,0,17.375867571337793
277,65.599455848645036,21.841512556207459,0,7.2434778602509082
278,65.995941001329399,32.547371443548933,12.389804398085321,14.337056309040975
279,51.139203372062859,45.396641001705341,0,12.345542006707015
280,54.952319630876652,40.464546571122135,0,17.143056897533992
281,43.921888827159762,23.613860486419529,0,4.7452127845609873
282,52.752458348166257,35.456879700860313,0,17.138180973522704
283,50.381561075833083,40.186603630447543,0,10.723814858438587
284,65.538228173334332,43.172647214641906,0,8.8410862946250628
285,61.958335383788942,33.729669234669636,28.5,16.76255992162843
286,55.969450215298338,29.259164195630827,0,11.479098119545201
287,52.493092009407746,31.356578604723438,0,14.020815244914404
288,59.249362528374128,28.23308494863403,23.533925686591278,12.973242712087174
289,48.943986312156277,26.049044360722132,0,12.419467792487081
290,55.906972936853826,37.08957875419987,0,22.021663768264936
291,52.936361220632676,29.240337430286665,0,13.094370796157861
292,70.246739097593306,28.709222678310876,0,11.749592901266674
293,65.423510499068698,39.523467294123272,0,10.579489303507509
294,86.161252788160937,41.706693371680196,0,8.7458789142593414
295,78.566320068119694,35.983088806363966,0,10.628451571431114
296,68.967396688315134,63.363994446010381,0,8.9889949481905909
297,64.804476183623905,35.969844390091872,0,1.9405184174624879
298,74.339446505207079,32.164247604695632,0,11.525087200301812
299,70.870948863585326,48.962285422154302,0,3.1738513245517002
300,-,-,-,-
301,46.995851286707229,25.463100166206473,0,9.6840951265915169
302,49.158777032572338,27.965470203510577,0,13.348832286507397
303,47.692710929768801,22.945199236358967,0,15.81618064006183
304,42.274938600900335,27.746063532162044,60,14.613530765997746
305,55.083285974803417,30.881273613818149,54.25,9.5578173174598504
306,69.801818645943499,29.590758513054027,46.244512405662718,15.28981357293654
307,72.188358240981145,38.752170856522433,56,17.300293413493382
308,68.715817633661118,65.230241989756848,0,11.006278680422557
309,79.422309285819495,44.249167363283412,0,8.4580778504105663
310,74.125875752552233,36.715997710830791,0,15.93896761776875
311,69.122668178682957,38.952038704786325,40,12.885115460011251
312,71.28729354285457,43.885632046279163,0,7.2365120699590921
313,45.321023512790099,19.548578372671461,0,11.251072499125911
314,68.577094999052704,36.346421951708109,0,11.194583278788667
315,71.34232327042821,37.357781088427032,0,13.347455572134285
316,69.937513879696183,28.353493704287715,0,12.720571047143642
317,46.067623569841146,26.759226318332452,0,12.853350988336954
318,40.767941010933072,28.571516747919574,10,11.05834257225632
319,46.853326768577631,27.40250528391698,0,10.40617675504064
320,63.841269940639222,23.715120625415743,0,13.838562543066297
321,53.895147181813016,23.721048729455447,11.25,14.109228045063237
322,47.791798864574808,26.548000634003809,50,10.540216801149926
323,33.151705067132461,24.887926143156836,0,10.970897284827934
324,53.970125970105713,31.933601308930559,0,14.220763182852641
325,66.084062070464839,36.939097058163171,0,10.392166208453427
326,55.641293334513819,25.938539260179393,0,8.9502284183576908
327,64.501886628087078,17.84820968100199,0,10.930544960011478
328,47.481620039133944,27.728733517548982,0,14.051824156451788
329,62.631797335256685,24.737928270131981,44.623458789392657,15.328436458132268
330,33.478184669334262,27.262597552403204,25,11.593666346148954
331,66.57818793210086,43.474960678572977,0,15.845781764904196
332,63.455492410653441,26.655005035278705,0,8.8485164658110804
333,45.417278914626529,27.530445877132991,0,4.3909491105457903
334,49.175143093861422,36.037195214166729,0,9.6747616306427595
335,55.862766881691151,28.877358181345286,15,13.416595816931752
336,57.474107207800181,25.72694619219746,0,15.634294119164499
337,78.656917949281308,33.034006460161066,7,13.284358559672222
338,51.04227760295413,34.712121377307625,22.5,11.489901956230876
339,60.965910037103001,28.026705814695791,25.360234341572593,12.637477504182758
340,-,-,-,-
341,37.656068275573212,26.917655075328739,15,15.211373492653761
342,46.953488645897401,22.922919284081974,21.665985282093207,16.20276104625664
343,34.957006743362875,25.04824801366571,0,9.4292011671003877
344,83.83921847498722,34.207072375063561,0,3
345,62.529590793902976,19.147731328556645,0,12.44172260128194
346,69.3766975381713,35.462704905961274,24.971936802585713,16.826476967809867
347,-,-,-,-
348,36.135451577248269,29.698550883179227,13,10.780749211623451
349,49.946539867811858,24.327201405149133,0,6.4026533364715172
350,-,-,-,-
351,41.122010322551766,52.722083848589193,0,9.9411482537314093
352,58.334893716286174,25.968276986076798,0,25.815523988626719
353,-,-,-,-
354,-,-,-,-
355,-,-,-,-
356,68.147511049200318,21.044144395160099,0,13.763871012942786
357,73.18266574741503,39.427951129067161,4.5,16.6831757880753
358,75.31294416800263,21.158913954881218,0,13.642481065150369
359,57.837141695745146,16.230301176078545,15.048865368871667,8.2722392739589594
360,34.460936335545696,37.634658227210764,0,0
361,44.536580458619085,24.401883538342332,32,15.987079349433413
362,36.600592673316029,19.922686701490203,0,10.234480204686236
363,95.766584347618789,18.425697290386971,77.5,14.654340087626327
364,49.038133126609765,30.825399577914499,0,7.0931471440062497
365,44.644599337616576,40.352091925118344,20.06470729410896,12.923465668887957
366,45.817732403760097,29.707068381743785,10.653153153153152,9.3784073172610363
367,34.8527532132332,30.755942027868201,0,10.028586459307331
368,42.064947571119433,30.803168073158563,0,13.742905703586642
369,57.305632705702223,19.439226951879096,12.070210686359685,10.010519150768527
370,38.984494136120141,24.697118501751287,0,7.7952227890751384
371,38.847032222320436,30.919756459404841,0,8.611355151909347
372,35.731934614176311,27.528669642697295,10,15.190693127819419
373,53.156177474615049,30.249893010475969,0,14.075345455118237
374,62.240495193864227,20.334200029578145,20.135860594978176,12.678115249353322
375,-,-,-,-
376,56.169524474967048,32.150532782746417,24.528049675720986,13.716043772195261
377,66.15923585235393,31.162071811398711,8.354965933302827,9.9154628660449227
378,59.231672374889321,41.913140783352233,37.038251848361391,15.197134755951518
379,78.571207795190901,32.240989227495284,0,16.625429882354734
380,45.785384635623295,21.077296188869983,0,13.836262558004256
381,43.9897049905953,29.564146980855682,0,11.655029571832619
382,-,-,-,-
383,50.137983425127246,29.373780696590135,30,10.466782976472334
384,43.998077451649117,32.342766672802583,15,9.3610949930443024
385,71.320562707485635,27.031359644900064,23.574858140549999,17.780096020908566
386,-,-,-,-
387,22.544911211304115,32.194750466975556,11.871713985278653,16.329788341621718
388,58.155062980769749,19.81986256460246,10.966068466294679,14.743159478509348
389,45.664042469053719,29.926161126053,0,5.6233190691447499
