household_id,family_id,first_family_record,family_expansion_factor,family_number,family_resident_count,housing_tenure,bathroom_count,domestic_employee_count,car_count,computer_count,dishwasher_count,single_door_refrigerator_count,freezer_count,washing_machine_count,dvd_count,microwave_count,motorcycle_count,clothes_dryer_count,bicycle_count,comfort_items_declaration,brazil_economic_class,brazil_economic_score,car_1_year,car_2_year,car_3_year,family_monthly_income,family_income_code
14400119,144001191,1,629.05,1,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,21,,,,2400,1
14400120,144001201,1,629.05,1,3,2,2,0,1,0,0,1,1,1,0,1,0,0,0,N,4,28,2005,,,5779.08,3
14400122,144001221,1,629.05,1,4,1,3,0,2,3,0,1,1,1,0,1,1,0,1,N,2,42,2021,2018,,15398.11,3
14400126,144001261,1,629.05,1,3,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,18,,,,2600,1
14400127,144001271,1,629.05,1,2,2,2,0,1,5,0,1,1,1,1,1,0,0,1,N,2,43,2018,,,12000,1
14400131,144001311,1,629.05,1,1,2,1,0,1,0,0,1,0,1,0,1,0,0,0,N,4,25,2019,,,7000,1
14400132,144001321,1,629.05,1,3,2,1,0,0,1,0,1,1,1,0,1,0,0,0,N,4,24,,,,2000,1
14400140,144001401,1,629.05,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,N,4,27,2020,,,4000,1
14400148,144001481,1,629.05,1,2,2,1,0,1,1,0,1,1,1,0,1,0,0,0,N,3,30,2009,,,6800,1
14400149,144001491,1,629.05,1,2,2,1,0,0,1,0,1,1,1,0,1,1,0,0,N,4,25,,,,10000,1
14400171,144001711,1,629.05,1,3,2,3,0,2,2,0,1,1,1,0,1,0,0,0,N,2,42,2012,2008,,11000,1
14400190,144001901,1,629.05,1,2,1,1,0,1,1,0,1,1,1,0,1,0,0,0,N,3,30,2014,,,9200,1
14400192,144001921,1,629.05,1,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,18,,,,3500,1
14400197,144001971,1,629.05,1,3,2,1,0,1,6,0,1,1,1,0,1,0,0,0,N,2,38,2017,,,12000,1
14400205,144002051,1,629.05,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,21,,,,1600,1
14400212,144002121,1,629.05,1,1,2,1,0,0,1,0,1,1,1,0,1,0,1,0,N,3,29,,,,6198.11,3
14400229,144002291,1,629.05,1,1,2,1,0,1,1,0,1,1,1,0,1,0,0,0,N,3,30,2018,,,10000,1
14400264,144002641,1,629.05,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,N,4,25,,,,8000,1
14400271,144002711,1,629.05,1,4,2,3,0,1,2,0,2,2,2,1,1,1,1,1,N,1,49,2004,,,13100,1
14400276,144002761,1,629.05,1,3,2,1,0,0,1,0,1,1,1,0,1,1,0,0,N,4,25,,,,4684.43,3
14400295,144002951,1,629.05,1,5,3,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,19,,,,900,1
14400305,144003051,1,629.05,1,2,2,1,0,1,4,0,1,1,1,0,1,0,1,0,N,2,40,2019,,,14000,1
14400322,144003221,1,629.05,1,1,2,1,0,1,2,0,1,1,1,0,1,0,1,1,N,3,35,2019,,,6000,1
14400406,144004061,1,629.05,1,4,2,2,0,0,1,0,1,0,1,0,1,0,0,0,N,5,22,,,,10640,1
14400577,144005771,1,629.05,1,2,2,2,0,0,1,0,1,1,1,0,1,0,0,0,N,3,31,,,,5600,1
14400661,144006611,1,629.05,1,2,2,1,0,1,0,1,1,1,1,0,0,0,0,0,N,5,22,2004,,,5700,1
14400829,144008291,1,629.05,1,3,1,2,0,1,1,0,1,1,1,1,1,0,0,0,N,3,35,2000,,,9433.29,3
14400944,144009441,1,629.05,1,3,2,3,0,1,0,0,1,1,1,0,1,0,0,0,N,3,31,2009,,,7700,1
14400979,144009791,1,629.05,1,4,2,4,0,1,0,0,1,1,1,0,1,0,1,1,N,3,37,2020,,,10850.86,3
14401379,144013791,1,629.05,1,4,1,1,0,2,1,1,1,1,1,0,1,0,0,0,N,3,35,2020,2013,,9433.29,3
14401781,144017811,1,629.05,1,1,1,2,0,1,1,0,1,1,1,0,1,0,1,1,N,3,36,2021,,,5000,1
14401798,144017981,1,629.05,1,3,2,2,0,1,3,0,2,1,1,0,1,1,1,1,N,2,43,2013,,,16514.6,3
14500004,145000041,1,55.84,1,2,2,2,0,0,1,0,1,1,1,0,1,0,0,0,N,4,25,,,,3700,1
14500005,145000051,1,55.84,1,3,2,2,0,1,4,0,1,1,1,0,1,1,0,0,N,2,43,2016,,,33000,1
14500006,145000061,1,55.84,1,1,2,1,0,1,0,0,1,1,1,0,1,0,0,0,N,5,21,2007,,,3540.42,3
14500007,145000071,1,55.84,1,2,2,3,0,1,1,0,1,1,1,0,1,0,0,0,N,3,37,2017,,,10850.86,3
14500008,145000081,1,55.84,1,1,2,2,0,0,1,0,1,1,1,0,1,0,0,0,N,4,25,,,,4684.43,3
14500009,145000091,1,55.84,1,3,2,2,0,2,1,0,1,1,1,0,1,0,1,0,N,3,32,2019,2010,,7646.47,3
14500013,145000131,1,55.84,1,4,2,3,0,2,2,1,2,1,1,0,1,1,1,2,N,1,46,2023,2023,,12200,1
14500014,145000141,1,55.84,1,2,1,2,0,1,1,1,1,1,1,0,1,1,0,0,N,2,38,2022,,,11637.64,3
14500016,145000161,1,55.84,1,3,2,2,0,2,1,0,1,1,1,1,1,0,1,3,N,2,39,2020,2016,,12481.46,3
14500017,145000171,1,55.84,1,4,1,1,0,0,1,0,1,1,1,0,1,3,0,0,N,4,25,,,,4684.43,3
14500018,145000181,1,55.84,1,4,2,1,0,2,1,0,1,1,1,0,1,0,0,1,N,4,27,2003,1985,,8320,1
14500019,145000191,1,55.84,1,3,2,2,0,1,1,0,1,1,1,0,1,1,0,1,N,3,35,2023,,,9433.29,3
14500020,145000201,1,55.84,1,5,2,2,0,3,1,0,1,1,1,0,1,0,1,2,N,3,35,1998,2000,2019,9433.29,3
14500022,145000221,1,55.84,1,3,1,1,0,1,0,0,1,1,1,0,1,0,1,0,N,4,26,1995,,,5024.09,3
14500023,145000231,1,55.84,1,3,1,1,0,1,0,0,1,1,1,0,1,1,0,0,N,4,25,2018,,,4684.43,3
14500024,145000241,1,55.84,1,3,2,2,1,1,1,0,2,1,1,1,1,1,0,0,N,3,37,2018,,,19700,1
14500026,145000261,1,55.84,1,2,3,2,0,0,1,0,1,0,1,0,1,0,0,1,N,4,26,,,,5024.09,3
14500028,145000281,1,55.84,1,4,2,1,0,2,1,0,1,1,1,0,1,0,1,0,N,3,34,2022,2023,,8795.54,3
14500029,145000291,1,55.84,1,3,2,3,0,1,2,0,1,1,1,1,1,0,0,0,N,2,38,2022,,,11637.64,3
14500031,145000311,1,55.84,1,2,1,2,0,1,1,0,1,1,1,0,1,1,0,1,N,3,32,2019,,,7646.47,3
14500032,145000321,1,55.84,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,19,,,,3077.89,3
14500038,145000381,1,55.84,1,4,2,2,0,0,0,0,1,1,1,0,1,1,0,1,N,3,29,,,,8000,1
14500039,145000391,1,55.84,1,2,2,3,0,1,1,0,1,1,1,0,1,0,0,0,N,3,34,2017,,,8795.54,3
14500040,145000401,1,55.84,1,2,2,2,0,0,0,0,1,1,1,0,1,0,0,0,N,4,25,,,,1000,1
14500041,145000411,1,55.84,1,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,N,5,19,,,,3077.89,3
14500043,145000431,1,55.84,1,3,2,3,0,1,1,0,1,1,1,1,1,0,0,1,N,2,38,2000,,,11637.64,3
14500044,145000441,1,55.84,1,2,2,1,0,1,1,0,1,1,1,0,1,0,0,1,N,3,30,2003,,,6647.53,3
14500045,145000451,1,55.84,1,3,2,1,0,0,1,0,1,1,1,0,1,0,0,0,N,5,22,,,,2300,1
